Brandon Ingram,4.9,.157
Jaylen Brown,2.7,.117
Kris Dunn,4.5,.166
Buddy Hield,7.6,.232
Jamal Murray,6.1,.194
Marquese Chriss,3.1,.148
Jakob Poeltl,6.8,.251
Domantas Sabonis,7.5,.260
Taurean Prince,3.8,.148
Denzel Valentine,7.3,.284
Wade Baldwin,4.5,.179
Henry Ellenson,4.0,.143
Malik Beasley,4.0,.158
Caris LeVert,2.8,.243
DeAndre Bembry,5.8,.174
Malachi Richardson,3.3,.104
Brice Johnson,7.6,.272
Pascal Siakam,7.8,.265
Skal Labissiere,2.0,.142
Dejounte Murray,2.8,.098
Damian Jones,3.8,.175
