Anthony Davis,9.9,.310
Michael Kidd-Gilchrist,6.0,.192
Bradley Beal,5.7,.180
Dion Waiters,5.0,.223
Thomas Robinson,7.2,.231
Damian Lillard,8.0,.291
Harrison Barnes,5.0,.181
Terrence Ross,4.9,.178
Andre Drummond,2.9,.121
Austin Rivers,3.5,.124
Meyers Leonard,4.6,.182
Jeremy Lamb,5.2,.165
Kendall Marshall,4.4,.147
John Henson,5.0,.195
Maurice Harkless,3.2,.109
Tyler Zeller,7.1,.265
Terrence Jones,5.8,.209
Andrew Nicholson,5.8,.240
Jared Sullinger,7.9,.280
John Jenkins,6.5,.223
Jared Cunningham,5.0,.162
Tony Wroten,3.2,.120
Miles Plumlee,3.1,.177
Arnett Moultrie,6.9,.142
Perry Jones,4.2,.167
Marquis Teague,3.5,.108
Festus Ezeli,2.1,.140
