,Player,PER 1st,PER 2nd,Win Shares 1st,Win Shares 2nd,Win Shares per 48 min 1st,Win Shares per 48 min 2nd,BPM 1st,BPM 2nd,VORP 1st,VORP 2nd,Win Shares(Col),Win Shares per 40 min(Col),Strength of Schedule(Col),Year Drafted
218,Brandon Roy,18.0,19.4,4.8,8.0,0.114,0.138,2.1,3.5,2.1,3.9,7.0,0.26899999999999996,5.96,2006
219,Randy Foye,14.0,12.7,2.3,1.1,0.057999999999999996,0.042,-1.6,-1.4,0.2,0.2,5.7,0.2,9.23,2006
220,Rudy Gay,12.4,17.4,0.5,5.0,0.011000000000000001,0.08,-2.5,0.8,-0.3,2.1,5.2,0.204,6.57,2006
221,Patrick O'Bryant,7.3,14.0,0.0,0.2,-0.003,0.105,-4.1,-1.0,-0.1,0.0,5.2,0.327,5.38,2006
222,J.J. Redick,13.0,12.7,1.7,0.5,0.134,0.091,-1.4,-4.3,0.1,-0.2,7.8,0.233,8.77,2006
223,Hilton Armstrong,12.2,7.7,1.2,0.5,0.091,0.032,-2.6,-3.3,-0.1,-0.2,5.9,0.249,6.57,2006
224,Ronnie Brewer,15.2,18.4,1.7,7.8,0.124,0.17800000000000002,-0.2,3.9,0.3,3.1,5.3,0.19,6.17,2006
225,Cedric Simmons,8.0,0.0,0.3,-0.2,0.025,-0.134,-4.2,-12.6,-0.3,-0.2,4.6,0.20800000000000002,5.63,2006
226,Rodney Carney,11.4,12.1,1.3,1.6,0.055,0.075,-3.4,-2.6,-0.4,-0.2,5.5,0.214,4.24,2006
227,Shawne Williams,9.7,12.8,0.7,1.4,0.063,0.069,-3.1,-2.3,-0.2,-0.1,5.3,0.213,4.24,2006
228,Quincy Douby,9.0,9.7,0.0,0.0,-0.006,0.0,-5.1,-5.4,-0.3,-0.8,7.8,0.258,5.16,2006
229,Renaldo Balkman,16.1,11.5,2.8,1.3,0.125,0.065,1.4,-0.6,0.9,0.3,5.6,0.23,8.14,2006
230,Rajon Rondo,13.1,15.6,2.4,7.2,0.064,0.15,0.4,2.6,1.1,2.7,4.0,0.15,8.88,2006
231,Marcus Williams,11.5,11.0,-0.1,0.2,-0.004,0.009000000000000001,-4.8,-3.9,-0.9,-0.4,3.1,0.162,6.57,2006
232,Josh Boone,14.6,14.8,1.7,3.7,0.122,0.1,-4.4,-1.2,-0.4,0.3,4.4,0.192,6.57,2006
233,Kyle Lowry,18.3,14.3,0.5,3.4,0.14800000000000002,0.078,3.3,-0.6,0.2,0.8,4.9,0.204,9.23,2006
234,Shannon Brown,7.5,6.3,0.1,-0.5,0.015,-0.102,-5.1,-9.6,-0.2,-0.5,4.5,0.151,7.27,2006
235,Jordan Farmar,10.8,15.4,0.9,3.9,0.038,0.111,-2.9,0.7,-0.3,1.2,3.9,0.139,8.27,2006
236,Maurice Ager,2.9,1.8,-0.3,-0.4,-0.06,-0.114,-9.3,-11.3,-0.4,-0.4,4.5,0.153,7.27,2006
237,Mardy Collins,9.2,5.9,0.0,-1.0,0.002,-0.079,-3.7,-6.2,-0.3,-0.7,4.8,0.159,5.19,2006
238,Greg Oden,18.1,23.1,4.6,2.2,0.16699999999999998,0.214,0.8,4.1,0.9,0.8,8.2,0.355,9.03,2007
239,Kevin Durant,15.8,20.8,2.3,7.9,0.04,0.132,-1.4,1.8,0.4,2.8,8.8,0.28,6.12,2007
240,Al Horford,14.7,17.0,5.5,6.8,0.10300000000000001,0.145,-0.2,2.3,1.2,2.5,7.5,0.28300000000000003,7.33,2007
241,Mike Conley,12.6,14.3,1.1,4.5,0.038,0.086,-3.0,-0.2,-0.3,1.1,6.1,0.19899999999999998,9.03,2007
242,Jeff Green,9.8,13.9,0.2,4.2,0.003,0.07,-3.2,-0.8,-0.7,0.8,6.3,0.204,9.48,2007
243,Corey Brewer,8.3,11.2,-0.2,0.3,-0.005,0.052000000000000005,-3.2,-0.8,-0.5,0.1,5.1,0.192,7.33,2007
244,Brandan Wright,17.2,18.7,1.1,1.9,0.142,0.131,-2.4,-1.2,0.0,0.1,7.6,0.301,9.3,2007
245,Joakim Noah,15.5,16.5,3.8,6.4,0.12,0.159,1.6,3.4,1.4,2.6,7.7,0.29600000000000004,7.33,2007
246,Spencer Hawes,11.6,13.0,0.6,0.8,0.033,0.016,-4.4,-2.1,-0.6,-0.1,4.4,0.198,6.5,2007
247,Acie Law,7.7,10.6,-0.1,0.7,-0.006999999999999999,0.062,-6.7,-5.0,-1.0,-0.4,5.9,0.203,5.12,2007
248,Thaddeus Young,16.5,15.3,4.5,5.5,0.14,0.102,0.6,0.5,1.0,1.7,3.3,0.145,9.36,2007
249,Julian Wright,15.4,12.6,1.7,0.8,0.126,0.048,0.6,-2.1,0.4,0.0,6.6,0.252,6.86,2007
250,Al Thornton,12.7,12.6,1.1,1.3,0.025,0.023,-3.8,-3.5,-1.0,-1.0,6.6,0.24100000000000002,8.63,2007
251,Rodney Stuckey,13.8,14.8,2.0,3.8,0.09,0.073,-1.1,-0.5,0.3,1.0,3.6,0.149,-2.94,2007
252,Nick Young,11.6,13.1,0.4,1.2,0.017,0.03,-5.6,-4.9,-1.1,-1.3,5.8,0.18899999999999997,7.87,2007
253,Sean Williams,13.9,8.8,2.5,0.3,0.09300000000000001,0.036000000000000004,-1.6,-2.4,0.1,0.0,2.3,0.19399999999999998,9.21,2007
254,Javaris Crittenton,11.0,11.0,0.1,0.0,0.004,0.013000000000000001,-5.4,-5.5,-0.6,-0.2,3.6,0.145,9.36,2007
255,Jason Smith,10.7,10.6,1.5,0.7,0.067,0.048,-3.8,-2.3,-0.5,0.0,4.7,0.20600000000000002,3.71,2007
256,Daequan Cook,7.9,10.3,-0.4,2.2,-0.013000000000000001,0.055999999999999994,-5.1,-3.0,-1.1,-0.5,3.5,0.18,9.03,2007
257,Jared Dudley,13.6,13.5,2.9,2.7,0.1,0.114,-0.3,0.8,0.6,0.8,5.8,0.20199999999999999,9.21,2007
258,Wilson Chandler,11.7,12.9,0.5,3.1,0.038,0.054000000000000006,-3.5,-0.9,-0.3,0.8,3.9,0.145,8.53,2007
259,Morris Almond,2.0,7.3,-0.1,0.1,-0.081,0.01,-11.0,-6.8,-0.1,-0.3,7.1,0.265,1.43,2007
260,Aaron Brooks,13.1,12.9,1.4,3.6,0.11199999999999999,0.086,-1.8,-1.3,0.0,0.4,5.7,0.17800000000000002,6.3,2007
261,Arron Afflalo,10.2,8.9,1.9,1.8,0.092,0.069,-1.6,-2.4,0.1,-0.1,5.5,0.187,9.84,2007
262,Alando Tucker,11.8,13.0,0.0,0.2,0.042,0.039,-11.8,-5.8,-0.1,-0.3,5.9,0.201,6.95,2007
263,Derrick Rose,16.0,18.6,4.9,6.0,0.078,0.1,-0.6,0.5,1.1,1.8,6.6,0.226,5.76,2008
264,Michael Beasley,17.2,16.1,3.4,4.6,0.081,0.095,-4.3,-1.7,-1.2,0.2,10.7,0.413,7.79,2008
265,O.J. Mayo,14.2,14.6,3.4,5.6,0.052000000000000005,0.087,-0.9,0.4,0.9,1.9,5.2,0.172,8.59,2008
266,Russell Westbrook,15.2,17.8,1.9,6.1,0.035,0.105,-0.1,2.1,1.3,2.9,5.3,0.161,7.71,2008
267,Kevin Love,18.3,20.7,5.3,4.9,0.124,0.138,-1.1,1.9,0.5,1.7,11.3,0.391,7.71,2008
268,Eric Gordon,14.9,14.1,4.6,3.2,0.08199999999999999,0.069,-0.4,-0.5,1.1,0.9,6.0,0.217,6.08,2008
269,Joe Alexander,10.1,2.8,0.4,0.0,0.03,0.03,-3.3,-3.7,-0.2,0.0,6.1,0.213,7.16,2008
270,D.J. Augustin,14.9,11.2,5.1,2.8,0.128,0.092,-0.7,-2.6,0.6,-0.2,6.0,0.16899999999999998,8.59,2008
271,Brook Lopez,17.9,20.1,5.8,7.9,0.11199999999999999,0.125,0.0,1.9,1.2,3.0,5.4,0.261,6.95,2008
272,Jerryd Bayless,8.2,14.3,0.3,2.7,0.019,0.098,-5.4,-2.5,-0.6,-0.2,4.8,0.17800000000000002,10.22,2008
273,Jason Thompson,13.9,14.6,2.7,4.0,0.057,0.081,-2.7,-0.9,-0.4,0.7,6.9,0.23600000000000002,-3.72,2008
274,Brandon Rush,9.0,9.6,0.9,2.5,0.024,0.047,-3.4,-1.3,-0.7,0.4,5.1,0.18,8.2,2008
275,Anthony Randolph,16.9,18.7,1.6,1.5,0.069,0.098,-2.5,-1.4,-0.1,0.1,3.5,0.136,5.66,2008
276,Robin Lopez,11.6,17.6,1.1,3.2,0.083,0.158,-2.3,-1.0,0.0,0.3,5.9,0.26899999999999996,6.95,2008
277,Marreese Speights,17.9,17.6,3.8,2.1,0.146,0.10099999999999999,-1.7,-3.9,0.1,-0.5,6.8,0.313,4.98,2008
278,Roy Hibbert,16.1,16.2,2.1,4.1,0.102,0.098,-1.3,0.3,0.2,1.2,6.8,0.305,7.23,2008
279,JaVale McGee,17.0,17.0,2.0,2.1,0.084,0.105,-3.1,-1.5,-0.3,0.1,4.0,0.179,-0.11,2008
280,J.J. Hickson,12.5,15.2,1.5,4.3,0.10099999999999999,0.12300000000000001,-4.5,-2.6,-0.4,-0.2,3.9,0.175,9.06,2008
281,Ryan Anderson,13.6,18.1,2.5,3.1,0.09,0.161,-1.1,1.3,0.3,0.8,5.5,0.204,8.45,2008
282,Courtney Lee,10.7,12.8,4.4,3.1,0.10800000000000001,0.063,0.5,-0.8,1.2,0.7,6.9,0.256,0.24,2008
283,Kosta Koufos,15.2,7.7,1.3,0.0,0.11199999999999999,0.013999999999999999,-1.6,-6.6,0.1,-0.2,5.3,0.21100000000000002,7.97,2008
284,George Hill,11.6,14.7,2.1,6.7,0.08,0.142,-1.8,1.5,0.1,2.0,7.8,0.266,-2.41,2008
285,Darrell Arthur,11.3,10.5,1.7,0.3,0.055,0.031,-3.1,-4.3,-0.4,-0.3,5.8,0.23399999999999999,8.2,2008
286,Donte Greene,5.2,11.6,-1.1,1.5,-0.07400000000000001,0.044000000000000004,-7.8,-2.4,-1.1,-0.2,3.9,0.124,7.96,2008
287,D.J. White,19.8,25.9,0.4,0.6,0.157,0.276,-1.0,3.3,0.0,0.1,7.6,0.275,6.08,2008
289,Blake Griffin,21.9,23.4,9.8,9.2,0.152,0.185,3.2,4.1,4.0,3.7,9.7,0.332,6.88,2009
290,Hasheem Thabeet,12.9,4.7,2.0,0.3,0.109,0.043,-0.4,-3.9,0.4,-0.2,9.4,0.32899999999999996,8.57,2009
291,James Harden,14.0,16.4,4.5,7.1,0.124,0.156,1.0,2.3,1.3,2.4,7.2,0.22899999999999998,7.82,2009
292,Tyreke Evans,18.2,14.4,5.4,1.6,0.09699999999999999,0.036000000000000004,1.6,-0.5,2.5,0.8,7.2,0.268,4.63,2009
293,Jonny Flynn,13.0,7.1,0.1,-1.3,0.002,-0.064,-3.6,-7.2,-1.0,-1.3,4.9,0.13699999999999998,9.48,2009
294,Stephen Curry,16.3,19.4,4.7,6.6,0.077,0.128,1.0,1.9,2.2,2.4,9.9,0.348,-3.33,2009
295,Jordan Hill,15.0,14.0,1.4,0.3,0.105,0.059000000000000004,-3.1,-4.4,-0.2,-0.2,5.1,0.16699999999999998,8.8,2009
296,DeMar DeRozan,12.5,14.5,2.3,3.2,0.066,0.055,-2.8,-2.4,-0.3,-0.3,4.1,0.14,9.15,2009
297,Terrence Williams,11.5,6.9,-0.3,-0.6,-0.006999999999999999,-0.096,-3.8,-7.3,-0.8,-0.4,6.2,0.195,8.41,2009
298,Gerald Henderson,9.7,13.2,0.4,2.4,0.055999999999999994,0.068,-4.7,-2.3,-0.2,-0.1,5.5,0.201,9.07,2009
299,Tyler Hansbrough,14.6,16.4,0.7,3.8,0.07,0.11800000000000001,-4.2,-3.3,-0.3,-0.5,6.7,0.261,8.35,2009
300,Earl Clark,8.5,10.1,-0.3,0.3,-0.033,0.03,-6.9,-6.0,-0.5,-0.5,5.8,0.184,8.41,2009
301,Austin Daye,12.8,13.0,1.3,2.1,0.067,0.07,-2.7,-1.3,-0.2,0.3,5.7,0.255,3.55,2009
302,James Johnson,10.4,12.6,0.8,0.6,0.054000000000000006,0.036000000000000004,-2.1,0.0,0.0,0.4,5.3,0.22399999999999998,7.36,2009
303,Jrue Holiday,12.3,15.4,1.2,5.7,0.032,0.094,-1.8,1.4,0.1,2.5,3.3,0.138,7.18,2009
304,Ty Lawson,16.4,17.9,3.7,6.7,0.135,0.153,0.0,1.9,0.7,2.1,6.9,0.263,8.35,2009
305,Jeff Teague,11.0,14.6,0.6,1.7,0.042,0.083,-4.2,-1.8,-0.4,0.1,5.6,0.22699999999999998,7.36,2009
306,Eric Maynor,11.8,12.3,1.9,0.4,0.071,0.051,-3.3,-3.7,-0.4,-0.2,6.9,0.23,-0.65,2009
307,Darren Collison,16.5,15.6,2.9,4.3,0.067,0.087,-1.7,-0.7,0.2,0.8,5.4,0.196,7.18,2009
308,Byron Mullens,0.7,3.5,-0.1,-0.2,-0.077,-0.113,-10.5,-17.2,-0.1,-0.3,3.3,0.198,8.23,2009
309,Taj Gibson,13.8,14.3,4.7,5.2,0.10300000000000001,0.14300000000000002,-0.6,0.0,0.8,0.9,7.7,0.26,9.15,2009
311,Wayne Ellington,9.6,8.6,0.4,0.3,0.013999999999999999,0.01,-4.8,-4.6,-1.0,-0.8,5.5,0.18899999999999997,8.35,2009
313,John Wall,15.8,17.7,2.2,3.5,0.040999999999999995,0.071,-0.2,0.6,1.2,1.6,6.3,0.196,6.82,2010
314,Evan Turner,10.8,12.6,2.3,2.4,0.06,0.068,-2.4,-1.8,-0.2,0.1,6.8,0.247,7.37,2010
315,Derrick Favors,13.8,12.6,2.9,1.9,0.091,0.083,-2.1,-2.7,0.0,-0.2,4.8,0.195,9.02,2010
317,DeMarcus Cousins,14.6,21.7,1.1,4.2,0.022000000000000002,0.10400000000000001,-1.4,-0.3,0.4,0.8,6.5,0.29,6.82,2010
319,Greg Monroe,18.0,22.0,6.6,7.0,0.14300000000000002,0.161,2.5,3.8,2.5,3.1,5.5,0.18899999999999997,9.55,2010
320,Al-Farouq Aminu,9.6,10.6,0.7,1.4,0.022000000000000002,0.044000000000000004,-3.0,-1.3,-0.4,0.2,4.3,0.17600000000000002,8.85,2010
321,Gordon Hayward,10.7,15.5,1.2,4.9,0.048,0.11599999999999999,-2.8,1.9,-0.2,2.0,6.9,0.22399999999999998,5.08,2010
322,Paul George,13.0,16.5,2.4,6.0,0.091,0.14800000000000002,0.0,3.9,0.6,2.9,4.2,0.17300000000000001,1.31,2010
323,Cole Aldrich,7.0,17.7,0.2,0.6,0.066,0.17600000000000002,-0.8,0.3,0.0,0.1,5.9,0.245,8.25,2010
324,Xavier Henry,7.0,9.2,0.2,0.2,0.021,0.015,-6.0,-4.6,-0.5,-0.5,4.9,0.19699999999999998,8.25,2010
325,Ed Davis,15.8,14.2,4.0,3.9,0.11900000000000001,0.121,0.3,0.9,0.9,1.1,3.1,0.19399999999999998,9.83,2010
326,Patrick Patterson,16.7,11.5,2.4,1.6,0.134,0.052000000000000005,0.5,-2.9,0.5,-0.3,7.0,0.223,6.82,2010
327,Larry Sanders,11.0,13.3,1.0,1.0,0.057,0.07200000000000001,-3.2,1.5,-0.3,0.6,5.4,0.228,0.64,2010
328,Luke Babbitt,1.0,11.3,-0.4,0.7,-0.14300000000000002,0.064,-12.0,-3.4,-0.3,-0.2,6.7,0.213,2.56,2010
329,Eric Bledsoe,10.8,11.2,0.3,0.2,0.008,0.022000000000000002,-2.0,-0.9,0.0,0.1,3.5,0.126,6.82,2010
330,Avery Bradley,2.2,11.3,-0.5,2.4,-0.139,0.085,-9.7,-1.3,-0.3,0.2,3.2,0.127,7.38,2010
331,James Anderson,8.5,8.8,0.3,0.5,0.051,0.04,-3.4,-3.6,-0.1,-0.2,6.9,0.247,6.97,2010
332,Craig Brackins,0.1,4.3,-0.1,-0.1,-0.154,-0.065,-11.5,-8.1,-0.1,-0.1,4.0,0.14300000000000002,8.37,2010
334,Trevor Booker,15.3,15.4,2.6,3.0,0.11900000000000001,0.113,-0.7,0.3,0.3,0.7,5.5,0.223,7.9,2010
335,Damion James,10.1,6.1,0.1,-0.2,0.015,-0.043,-3.4,-6.3,-0.1,-0.2,6.5,0.252,7.38,2010
336,Dominique Jones,10.6,11.8,0.0,0.2,0.006999999999999999,0.044000000000000004,-3.4,-2.9,0.0,-0.1,6.2,0.204,7.21,2010
337,Quincy Pondexter,8.5,9.4,0.9,1.7,0.06,0.08199999999999999,-2.8,-1.9,-0.1,0.0,7.3,0.25,7.49,2010
339,Greivis Vasquez,9.4,14.2,0.5,2.3,0.03,0.064,-4.6,-1.6,-0.6,0.2,5.8,0.20800000000000002,7.95,2010
340,Daniel Orton,12.7,14.0,0.5,0.3,0.129,0.135,1.2,-1.3,0.2,0.0,1.7,0.135,6.82,2010
341,Lazar Hayward,10.8,3.1,0.3,-0.1,0.035,-0.04,-3.6,-8.0,-0.2,-0.2,5.4,0.198,8.23,2010
342,Kyrie Irving,21.4,21.4,4.1,5.3,0.125,0.125,3.3,3.3,2.1,2.8,2.4,0.32,8.31,2011
343,Derrick Williams,12.9,14.5,1.8,3.0,0.059000000000000004,0.076,-3.1,-3.7,-0.4,-0.8,7.9,0.27899999999999997,7.99,2011
344,Tristan Thompson,13.3,16.1,1.1,5.2,0.038,0.098,-4.2,-0.5,-0.8,1.0,5.5,0.2,7.96,2011
345,Brandon Knight,11.7,12.0,1.3,1.1,0.028999999999999998,0.022000000000000002,-1.9,-2.1,0.0,-0.1,5.3,0.157,8.91,2011
346,Kemba Walker,14.9,18.8,0.3,4.8,0.009000000000000001,0.08,-1.2,1.5,0.3,2.5,9.7,0.251,10.44,2011
347,Jimmer Fredette,10.8,14.6,0.3,1.1,0.012,0.052000000000000005,-4.4,-3.6,-0.7,-0.4,8.5,0.256,5.76,2011
348,Klay Thompson,14.9,12.7,1.7,4.3,0.05,0.07,-1.9,-0.1,0.1,1.4,5.8,0.198,6.81,2011
349,Alec Burks,14.0,11.5,1.5,1.0,0.076,0.044000000000000004,-2.5,-2.7,-0.1,-0.2,6.6,0.221,5.61,2011
350,Markieff Morris,12.1,12.6,1.5,1.7,0.059000000000000004,0.044000000000000004,-0.6,-1.0,0.4,0.5,6.0,0.257,7.62,2011
351,Marcus Morris,3.8,11.3,-0.2,1.8,-0.083,0.057999999999999996,-10.0,-1.9,-0.3,0.0,7.2,0.26899999999999996,7.62,2011
352,Kawhi Leonard,16.6,16.4,5.5,6.2,0.171,0.166,4.3,3.9,2.4,2.7,6.8,0.231,6.36,2011
353,Nikola Vucevic,14.3,17.8,1.8,5.7,0.109,0.106,-2.1,0.4,0.0,1.6,6.6,0.221,7.96,2011
354,Iman Shumpert,10.8,11.7,2.4,1.9,0.068,0.094,0.1,0.6,0.9,0.7,4.9,0.196,5.68,2011
355,Chris Singleton,8.3,7.8,1.5,0.5,0.052000000000000005,0.027999999999999997,-1.0,-3.3,0.4,-0.3,3.9,0.191,6.45,2011
356,Tobias Harris,14.2,16.0,0.9,2.4,0.087,0.08900000000000001,-3.5,-0.8,-0.2,0.4,4.4,0.177,8.73,2011
357,Nolan Smith,7.8,7.1,-0.3,-0.5,-0.028999999999999998,-0.08199999999999999,-5.4,-8.6,-0.5,-0.5,7.4,0.23399999999999999,8.31,2011
358,Kenneth Faried,21.9,18.5,4.6,7.8,0.212,0.16699999999999998,3.4,2.2,1.4,2.4,8.3,0.272,-3.13,2011
359,Reggie Jackson,9.2,14.2,0.1,2.5,0.011000000000000001,0.121,-3.9,-0.8,-0.2,0.3,5.6,0.193,7.31,2011
360,MarShon Brooks,12.9,13.5,0.8,1.3,0.022000000000000002,0.068,-2.5,-2.2,-0.2,0.0,5.9,0.203,6.44,2011
361,Jordan Hamilton,13.9,16.9,0.3,0.8,0.055,0.1,-2.4,-1.0,0.0,0.1,6.7,0.231,7.96,2011
362,Norris Cole,7.9,7.9,0.0,0.6,0.0,0.019,-5.9,-4.5,-1.2,-1.0,8.3,0.258,1.74,2011
363,Cory Joseph,6.9,13.5,0.0,0.9,0.001,0.113,-4.8,-0.5,-0.2,0.1,4.4,0.152,7.96,2011
364,Jimmy Butler,12.5,15.2,1.1,7.0,0.14400000000000002,0.158,-1.3,1.9,0.1,2.1,6.3,0.198,8.51,2011
365,Anthony Davis,21.7,26.5,6.1,10.4,0.159,0.212,2.3,4.5,2.0,3.9,9.9,0.31,7.93,2012
366,Michael Kidd-Gilchrist,14.0,12.0,2.1,3.1,0.051,0.098,-2.2,-0.9,-0.1,0.4,6.0,0.192,7.93,2012
367,Bradley Beal,13.6,14.3,3.0,4.0,0.08199999999999999,0.076,-0.1,-1.1,0.9,0.5,5.7,0.18,7.33,2012
368,Dion Waiters,13.7,14.0,0.9,1.6,0.026000000000000002,0.037000000000000005,-3.2,-2.1,-0.5,0.0,5.0,0.223,8.02,2012
369,Thomas Robinson,10.9,10.6,-0.1,-0.2,-0.002,-0.01,-4.5,-4.8,-0.7,-0.6,7.2,0.231,9.93,2012
370,Damian Lillard,16.4,18.6,5.8,9.6,0.08800000000000001,0.157,0.3,2.7,1.9,3.5,8.0,0.29100000000000004,-3.65,2012
371,Harrison Barnes,11.0,9.8,2.8,3.2,0.065,0.07,-2.4,-1.4,-0.2,0.3,5.0,0.18100000000000002,7.07,2012
372,Terrence Ross,10.4,12.0,0.9,4.2,0.034,0.094,-2.9,-0.1,-0.3,1.0,4.9,0.17800000000000002,5.27,2012
373,Andre Drummond,21.6,22.6,4.5,9.9,0.172,0.182,2.4,1.6,1.4,2.4,2.9,0.121,8.07,2012
374,Austin Rivers,5.9,11.6,-1.1,0.6,-0.038,0.023,-5.6,-3.9,-1.3,-0.7,3.5,0.124,8.4,2012
375,Meyers Leonard,12.1,9.4,2.4,0.6,0.09699999999999999,0.086,-2.6,-3.3,-0.2,-0.1,4.6,0.182,7.99,2012
376,Jeremy Lamb,11.2,13.4,0.2,3.3,0.057999999999999996,0.102,-7.1,-1.2,-0.2,0.3,5.2,0.165,8.07,2012
377,Kendall Marshall,7.8,12.6,-0.2,0.9,-0.012,0.028999999999999998,-7.3,-4.5,-0.9,-1.0,4.4,0.147,7.07,2012
378,John Henson,18.2,17.9,1.9,3.3,0.109,0.084,-2.9,0.3,-0.2,1.1,5.0,0.195,7.07,2012
379,Maurice Harkless,12.5,11.8,2.4,2.8,0.059000000000000004,0.068,-1.0,0.0,0.5,1.0,3.2,0.109,6.98,2012
380,Tyler Zeller,11.0,15.4,2.0,2.6,0.048,0.12,-2.3,-1.7,-0.1,0.1,7.1,0.265,7.07,2012
381,Terrence Jones,17.1,19.1,0.7,7.3,0.128,0.16899999999999998,2.1,2.2,0.3,2.2,5.8,0.209,7.93,2012
382,Andrew Nicholson,15.1,9.9,1.7,0.6,0.065,0.025,-4.4,-6.7,-0.8,-1.4,5.8,0.24,2.84,2012
383,Jared Sullinger,13.5,16.4,2.7,3.9,0.146,0.091,-0.6,-0.3,0.3,0.9,7.9,0.28,9.07,2012
384,John Jenkins,13.0,4.7,1.7,-0.1,0.091,-0.043,-2.8,-7.5,-0.2,-0.2,6.5,0.223,8.04,2012
385,Jared Cunningham,14.8,8.5,0.0,0.1,0.033,0.075,-6.3,-5.1,0.0,-0.1,5.0,0.162,3.38,2012
386,Tony Wroten,9.3,12.9,0.1,-0.9,0.017,-0.025,-4.2,-4.6,-0.2,-1.2,3.2,0.12,5.27,2012
387,Miles Plumlee,8.8,14.6,0.0,4.0,-0.015,0.098,-7.8,-1.5,-0.1,0.2,3.1,0.177,8.4,2012
389,Perry Jones,7.8,10.1,0.0,1.5,-0.003,0.094,-8.6,-2.5,-0.5,-0.1,4.2,0.16699999999999998,8.03,2012
390,Marquis Teague,6.0,3.8,-0.3,-0.5,-0.031,-0.059000000000000004,-7.3,-8.8,-0.5,-0.8,3.5,0.10800000000000001,7.93,2012
391,Festus Ezeli,9.3,16.2,1.5,1.7,0.066,0.159,-1.4,-1.8,0.2,0.0,2.1,0.14,8.04,2012
392,Anthony Bennett,6.9,11.4,-0.4,0.3,-0.027999999999999997,0.017,-7.3,-4.8,-0.9,-0.6,5.7,0.23800000000000002,5.71,2013
393,Victor Oladipo,13.6,15.9,1.3,3.5,0.026000000000000002,0.065,-0.8,0.0,0.8,1.3,6.7,0.264,8.38,2013
394,Otto Porter,6.0,11.6,0.0,2.7,-0.006,0.092,-6.8,-0.4,-0.4,0.6,7.1,0.26,7.59,2013
395,Cody Zeller,13.1,14.1,2.6,3.8,0.09,0.12300000000000001,-1.3,0.4,0.2,0.9,7.3,0.27399999999999997,8.38,2013
396,Alex Len,7.3,13.5,0.2,3.4,0.024,0.107,-5.9,-1.0,-0.4,0.4,5.0,0.2,4.66,2013
397,Nerlens Noel,15.0,16.2,4.0,3.0,0.083,0.07400000000000001,0.8,0.7,1.6,1.3,3.9,0.20600000000000002,5.78,2013
398,Ben McLemore,7.7,10.4,0.8,2.5,0.016,0.045,-3.2,-0.8,-0.6,0.8,6.5,0.217,7.54,2013
399,Kentavious Caldwell-Pope,9.4,11.2,1.8,2.8,0.055,0.052000000000000005,-2.1,-1.0,0.0,0.6,6.2,0.23,6.09,2013
400,Trey Burke,12.6,12.6,0.9,2.4,0.02,0.05,-2.5,-1.9,-0.3,0.1,8.6,0.249,10.05,2013
401,C.J. McCollum,9.0,13.1,0.2,1.8,0.019,0.08900000000000001,-4.1,-0.7,-0.3,0.3,2.4,0.261,-3.01,2013
402,Michael Carter-Williams,15.5,14.1,1.3,0.8,0.026000000000000002,0.017,-0.2,-0.7,1.1,0.7,6.1,0.174,8.57,2013
403,Steven Adams,11.2,14.1,2.9,4.1,0.114,0.111,0.3,0.4,0.7,1.1,3.5,0.185,5.63,2013
404,Kelly Olynyk,15.2,15.9,2.9,3.6,0.10099999999999999,0.12,0.5,2.1,0.9,1.5,6.7,0.315,4.18,2013
405,Shabazz Muhammad,13.1,19.9,0.3,2.0,0.053,0.11,-6.2,-1.8,-0.3,0.0,3.7,0.149,7.82,2013
406,Shane Larkin,8.3,10.9,-0.1,1.7,-0.01,0.045,-4.7,-2.4,-0.3,-0.2,6.5,0.19899999999999998,7.88,2013
407,Tony Snell,8.0,10.2,1.6,2.4,0.063,0.08199999999999999,-3.0,-1.5,-0.3,0.2,3.6,0.133,6.63,2013
408,Gorgui Dieng,16.5,17.2,2.2,4.9,0.129,0.10800000000000001,0.7,2.5,0.5,2.5,5.6,0.21899999999999997,9.13,2013
409,Mason Plumlee,19.0,18.0,4.7,4.8,0.17600000000000002,0.131,2.4,0.8,1.4,1.2,6.9,0.22,9.54,2013
410,Solomon Hill,7.6,10.2,0.4,3.5,0.08,0.07200000000000001,-2.3,-0.3,0.0,1.0,5.1,0.17600000000000002,7.47,2013
411,Tim Hardaway,12.7,12.1,3.1,0.8,0.08,0.023,-2.3,-4.1,-0.1,-0.9,4.5,0.136,10.05,2013
412,Reggie Bullock,6.7,6.2,0.2,0.1,0.019,0.019,-4.7,-4.0,-0.3,-0.2,5.7,0.207,8.01,2013
413,Andre Roberson,9.0,9.1,0.8,2.1,0.099,0.079,-0.3,0.3,0.2,0.7,4.3,0.166,7.95,2013
414,Archie Goodwin,10.3,11.2,0.2,0.2,0.018000000000000002,0.013999999999999999,-4.3,-4.5,-0.3,-0.3,3.1,0.11699999999999999,5.78,2013
415,Andrew Wiggins,13.9,16.5,2.1,4.1,0.034,0.069,-2.3,-2.1,-0.2,-0.1,4.9,0.17,11.4,2014
416,Jabari Parker,14.5,14.8,1.3,3.6,0.08800000000000001,0.07200000000000001,-1.2,-2.4,0.1,-0.2,5.5,0.205,8.48,2014
417,Joel Embiid,24.1,22.9,1.9,6.1,0.11699999999999999,0.154,3.1,2.7,1.0,2.3,3.4,0.213,11.4,2014
