,Player,PER 1st,PER 2nd,Win Shares 1st,Win Shares 2nd,Win Shares per 48 min 1st,Win Shares per 48 min 2nd,BPM 1st,BPM 2nd,VORP 1st,VORP 2nd,Win Shares(Col),Win Shares per 40 min(Col),Strength of Schedule(Col),Year Drafted
47,Keith Booth,13.8,7.0,0.0,-0.8,0.107,-0.08800000000000001,-6.9,-6.2,0.0,-0.5,5.5,0.19899999999999998,9.3,1997
49,Mike Bibby,14.8,16.7,1.3,5.6,0.035,0.086,-2.3,0.2,-0.1,1.7,5.3,0.19,8.38,1998
50,Raef LaFrentz,18.9,16.3,1.2,5.9,0.14400000000000002,0.11599999999999999,-0.2,0.6,0.2,1.6,7.0,0.309,6.54,1998
56,Paul Pierce,19.2,19.8,4.9,8.2,0.14400000000000002,0.152,3.7,3.4,2.3,3.5,7.9,0.272,6.54,1998
60,Michael Dickerson,11.5,15.6,2.2,5.5,0.069,0.085,-1.9,-0.2,0.1,1.4,5.0,0.203,8.38,1998
72,Elton Brand,20.6,20.4,7.5,6.1,0.121,0.10099999999999999,1.8,2.2,2.9,3.0,10.0,0.35,10.13,1999
73,Steve Francis,18.4,21.6,6.4,12.2,0.111,0.184,3.3,6.6,3.7,7.0,6.5,0.251,9.1,1999
74,Baron Davis,12.9,16.6,2.1,8.9,0.065,0.134,-1.1,3.3,0.3,4.3,4.2,0.20199999999999999,8.84,1999
75,Lamar Odom,16.8,18.9,3.2,6.5,0.055,0.111,1.2,4.6,2.3,4.6,5.8,0.20600000000000002,5.58,1999
76,Wally Szczerbiak,15.4,15.8,6.2,7.4,0.13699999999999998,0.125,1.2,1.2,1.8,2.3,10.4,0.386,4.48,1999
77,Richard Hamilton,11.6,15.7,0.7,2.4,0.024,0.046,-4.5,-2.2,-0.9,-0.1,6.4,0.233,8.8,1999
78,Andre Miller,17.9,20.1,5.3,8.0,0.122,0.136,1.0,2.9,1.6,3.5,7.4,0.271,3.3,1999
79,Shawn Marion,17.1,21.0,4.1,11.7,0.158,0.196,0.9,4.2,0.9,4.5,6.0,0.253,4.52,1999
80,Jason Terry,13.9,17.3,1.9,6.5,0.047,0.1,-1.8,1.4,0.1,2.6,5.0,0.18100000000000002,8.31,1999
81,Trajan Langdon,10.9,11.8,0.3,2.0,0.098,0.086,-2.0,-1.5,0.0,0.2,6.3,0.22399999999999998,10.13,1999
82,Aleksandar Radojevic,2.4,-1.5,-0.1,-0.3,-0.20199999999999999,-0.11699999999999999,-11.5,-9.0,-0.1,-0.2,6.3,0.22399999999999998,10.13,1999
83,Corey Maggette,14.1,18.2,2.6,3.9,0.091,0.13699999999999998,-2.3,-0.5,-0.1,0.5,4.5,0.263,10.13,1999
84,William Avery,6.7,9.0,-0.5,0.0,-0.046,-0.003,-7.5,-6.7,-0.7,-0.5,6.3,0.209,10.13,1999
85,Metta World Peace,13.4,13.6,2.3,1.9,0.05,0.039,-0.3,-0.7,1.0,0.7,7.8,0.24600000000000002,9.09,1999
86,Cal Bowdler,10.0,15.8,0.2,1.0,0.027000000000000003,0.134,-4.8,-2.8,-0.3,-0.1,5.5,0.215,-1.68,1999
87,James Posey,13.0,12.5,4.3,3.8,0.10099999999999999,0.08,1.4,0.9,1.8,1.7,7.8,0.247,3.89,1999
88,Quincy Lewis,6.6,7.1,0.3,0.3,0.018000000000000002,0.040999999999999995,-4.0,-3.3,-0.5,-0.1,4.6,0.203,9.93,1999
91,Kenny Thomas,12.0,11.2,2.2,2.2,0.057999999999999996,0.057999999999999996,-1.4,-1.5,0.3,0.2,6.1,0.272,0.74,1999
92,Devean George,12.1,6.2,0.7,-0.3,0.09300000000000001,-0.023,-4.0,-7.3,-0.2,-0.8,6.1,0.272,0.74,1999
93,Tim James,12.6,5.8,-0.1,0.1,-0.105,0.022000000000000002,-5.9,-6.8,0.0,-0.2,4.8,0.19899999999999998,9.18,1999
94,Vonteego Cummings,12.9,10.4,1.3,0.2,0.036000000000000004,0.006999999999999999,-2.2,-3.7,-0.1,-0.6,2.3,0.1,7.22,1999
95,Jumaine Jones,12.6,14.2,0.0,2.3,0.008,0.125,-5.3,-0.6,-0.1,0.3,4.0,0.154,7.19,1999
96,Scott Padgett,7.6,17.6,0.1,0.4,0.013000000000000001,0.158,-3.8,0.5,-0.2,0.1,5.8,0.217,9.93,1999
97,Kenyon Martin,13.4,14.5,2.1,4.9,0.044000000000000004,0.09300000000000001,-0.7,0.9,0.8,1.8,9.0,0.39799999999999996,8.5,2000
98,Stromile Swift,13.1,17.2,1.9,3.7,0.069,0.099,-1.5,-1.5,0.2,0.2,8.5,0.33399999999999996,5.78,2000
99,Marcus Fizer,11.0,14.2,-0.7,1.1,-0.022000000000000002,0.026000000000000002,-7.2,-3.7,-2.1,-0.8,9.6,0.308,7.14,2000
100,Mike Miller,13.2,15.0,5.3,4.5,0.106,0.10099999999999999,-0.4,0.2,1.0,1.2,5.4,0.204,8.51,2000
