John Wall,2.2,3.5,.041,.071,-0.2,0.6,1.2,1.6
Evan Turner,2.3,2.4,.060,.068,-2.4,-1.8,-0.2,0.1
Derrick Favors,2.9,1.9,.091,.083,-2.1,-2.7,0.0,-0.2
Wesley Johnson,1.3,0.6,.030,.021,-1.6,-1.6,0.2,0.1
DeMarcus Cousins,1.1,4.2,.022,.104,-1.4,-0.3,0.4,0.8
Ekpe Udoh,0.7,2.1,.032,.077,-2.0,0.2,0.0,0.7
Greg Monroe,6.6,7.0,.143,.161,2.5,3.8,2.5,3.1
Al-Farouq Aminu,0.7,1.4,.022,.044,-3.0,-1.3,-0.4,0.2
Gordon Hayward,1.2,4.9,.048,.116,-2.8,1.9,-0.2,2.0
Paul George,2.4,6.0,.091,.148,0.0,3.9,0.6,2.9
Cole Aldrich,0.2,0.6,.066,.176,-0.8,0.3,0.0,0.1
Xavier Henry,0.2,0.2,.021,.015,-6.0,-4.6,-0.5,-0.5
Ed Davis,4.0,3.9,.119,.121,0.3,0.9,0.9,1.1
Patrick Patterson,2.4,1.6,.134,.052,0.5,-2.9,0.5,-0.3
Larry Sanders,1.0,1.0,.057,.072,-3.2,1.5,-0.3,0.6
Luke Babbitt,-0.4,0.7,-0.143,.064,-12.0,-3.4,-0.3,-0.2
Eric Bledsoe,0.3,0.2,.008,.022,-2.0,-0.9,0.0,0.1
Avery Bradley,-0.5,2.4,-0.139,.085,-9.7,-1.3,-0.3,0.2
James Anderson,0.3,0.5,.051,.040,-3.4,-3.6,-0.1,-0.2
Craig Brackins,-0.1,-0.1,-0.154,-0.065,-11.5,-8.1,-0.1,-0.1
Elliot Williams,0.3,0.3,.105,.014,-1.4,-5.7,0.0,-1.1
Trevor Booker,2.6,3.0,.119,.113,-0.7,0.3,0.3,0.7
Damion James,0.1,-0.2,.015,-0.043,-3.4,-6.3,-0.1,-0.2
Dominique Jones,0.0,0.2,.007,.044,-3.4,-2.9,0.0,-0.1
Quincy Pondexter,0.9,1.7,.060,.082,-2.8,-1.9,-0.1,0.0
Jordan Crawford,-0.6,-0.3,-0.026,-0.090,-3.8,-7.5,-0.5,-0.2
Greivis Vasquez,0.5,2.3,.030,.064,-4.6,-1.6,-0.6,0.2
Daniel Orton,0.5,0.3,.129,.135,1.2,-1.3,0.2,0.0
Lazar Hayward,0.3,-0.1,.035,-0.040,-3.6,-8.0,-0.2,-0.2
