Andrew Wiggins,4.9,.170
Jabari Parker,5.5,.205
Joel Embiid,3.4,.213
Aaron Gordon,5.4,.183
Marcus Smart,5.6,.220
Julius Randle,5.9,.191
Nik Stauskas,6.2,.193
Noah Vonleh,3.6,.182
Elfrid Payton,5.6,.177
Doug McDermott,7.7,.261
Zach LaVine,2.5,.111
T.J. Warren,6.5,.209
Adreian Payne,4.3,.200
James Young,4.7,.145
Tyler Ennis,5.5,.180
Gary Harris,5.3,.188
Mitch McGary,1.0,.208
Jordan Adams,6.4,.237
Rodney Hood,2.9,.111
Shabazz Napier,7.9,.226
P.J. Hairston,4.6,.228
C.J. Wilcox,4.4,.159
Josh Huestis,4.0,.126
Kyle Anderson,5.6,.189
