Blake Griffin,9.7,.332
Hasheem Thabeet,9.4,.329
James Harden,7.2,.229
Tyreke Evans,7.2,.268
Jonny Flynn,4.9,.137
Stephen Curry,9.9,.348
Jordan Hill,5.1,.167
DeMar DeRozan,4.1,.140
Terrence Williams,6.2,.195
Gerald Henderson,5.5,.201
Tyler Hansbrough,6.7,.261
Earl Clark,5.8,.184
Austin Daye,5.7,.255
James Johnson,5.3,.224
Jrue Holiday,3.3,.138
Ty Lawson,6.9,.263
Jeff Teague,5.6,.227
Eric Maynor,6.9,.230
Darren Collison,5.4,.196
Byron Mullens,3.3,.198
Taj Gibson,7.7,.260
DeMarre Carroll,3.6,.102
Wayne Ellington,5.5,.189
Toney Douglas,2.6,.093
