LaMarcus Aldridge,8.7,.278
Adam Morrison,6.8,.225
Tyrus Thomas,7.3,.351
Shelden Williams,9.1,.305
Brandon Roy,7.0,.269
Randy Foye,5.7,.200
Rudy Gay,5.2,.204
Patrick O'Bryant,5.2,.327
J.J. Redick,7.8,.233
Hilton Armstrong,5.9,.249
Ronnie Brewer,5.3,.190
Cedric Simmons,4.6,.208
Rodney Carney,5.5,.214
Shawne Williams,5.3,.213
Quincy Douby,7.8,.258
Renaldo Balkman,5.6,.230
Rajon Rondo,4.0,.150
Marcus Williams,3.1,.162
Josh Boone,4.4,.192
Kyle Lowry,4.9,.204
Shannon Brown,4.5,.151
Jordan Farmar,3.9,.139
Maurice Ager,4.5,.153
Mardy Collins,4.8,.159
