,Player,sos,year,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,ws_per_40,g,fg_per_min,fga_per_min,fg_pct,fg2_per_min,fg2a_per_min,fg2_pct,fg3_per_min,fg3a_per_min,fg3_pct,ft_per_min,fta_per_min,ft_pct,trb_per_min,ast_per_min,stl_per_min,blk_per_min,tov_per_min,pf_per_min,pts_per_min
327,Luke Babbitt,2.56,2010,1260.0,0.614,0.542,0.201,0.43200000000000005,0.213,34,8.0,15.9,0.5,6.6,12.7,0.521,1.3,3.2,0.41600000000000004,6.3,6.9,0.917,9.6,2.3,1.1,0.9,2.6,2.8,23.6
328,Eric Bledsoe,6.82,2010,1122.0,0.5660000000000001,0.54,0.41,0.39399999999999996,0.126,37,5.1,11.1,0.462,3.4,6.6,0.516,1.7,4.6,0.38299999999999995,2.9,4.4,0.667,4.1,3.8,1.9,0.4,4.0,2.9,14.9
329,Avery Bradley,7.38,2010,1003.0,0.496,0.489,0.304,0.179,0.127,34,6.3,14.7,0.43200000000000005,4.7,10.2,0.457,1.7,4.5,0.375,1.4,2.6,0.545,3.9,2.8,1.8,0.7,2.1,3.2,15.8
330,James Anderson,6.97,2010,1124.0,0.596,0.532,0.439,0.522,0.247,33,8.0,17.6,0.457,5.4,9.9,0.5489999999999999,2.6,7.7,0.341,7.4,9.2,0.81,6.8,2.8,1.6,0.7,2.8,3.1,26.2
331,Craig Brackins,8.37,2010,1124.0,0.498,0.45,0.19,0.337,0.14300000000000002,32,6.8,16.3,0.42,5.9,13.2,0.446,1.0,3.1,0.31,4.2,5.5,0.76,9.7,2.5,0.9,1.4,2.4,2.3,18.8
333,Trevor Booker,7.9,2010,984.0,0.5489999999999999,0.5329999999999999,0.094,0.474,0.223,32,7.6,14.7,0.521,7.3,13.3,0.547,0.4,1.4,0.265,4.1,7.0,0.591,10.9,3.3,1.7,1.8,2.5,2.6,19.8
334,Damion James,7.38,2010,1029.0,0.578,0.544,0.22399999999999998,0.5489999999999999,0.252,34,8.2,16.3,0.501,6.8,12.6,0.535,1.4,3.7,0.38299999999999995,6.0,8.9,0.674,13.6,1.3,2.2,1.6,2.7,3.9,23.8
335,Dominique Jones,7.21,2010,1224.0,0.562,0.503,0.33899999999999997,0.5720000000000001,0.204,33,7.3,16.1,0.45,5.6,10.7,0.521,1.7,5.5,0.311,6.8,9.2,0.741,6.6,3.9,1.8,0.6,3.2,3.0,23.0
336,Quincy Pondexter,7.49,2010,1162.0,0.608,0.547,0.11,0.48700000000000004,0.25,36,8.4,16.0,0.528,7.8,14.2,0.55,0.6,1.8,0.353,6.4,7.8,0.8270000000000001,9.1,2.2,1.6,0.7,2.3,3.1,23.9
338,Greivis Vasquez,7.95,2010,1120.0,0.5489999999999999,0.496,0.374,0.314,0.20800000000000002,33,7.9,18.3,0.429,5.4,11.5,0.47,2.5,6.9,0.359,4.9,5.8,0.857,5.5,7.4,2.0,0.4,4.0,2.5,23.1
