,Player,sos,year,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,ws_per_40,g,fg_per_min,fga_per_min,fg_pct,fg2_per_min,fg2a_per_min,fg2_pct,fg3_per_min,fg3a_per_min,fg3_pct,ft_per_min,fta_per_min,ft_pct,trb_per_min,ast_per_min,stl_per_min,blk_per_min,tov_per_min,pf_per_min,pts_per_min
384,Jared Cunningham,3.38,2012,1245.0,0.568,0.507,0.336,0.614,0.162,36,6.4,14.1,0.45,4.8,9.4,0.507,1.6,4.8,0.33799999999999997,6.4,8.7,0.737,4.4,3.2,2.9,0.5,3.3,2.8,20.7
385,Tony Wroten,5.27,2012,1062.0,0.488,0.45299999999999996,0.125,0.591,0.12,35,7.5,16.8,0.44299999999999995,7.1,14.7,0.483,0.3,2.1,0.161,5.8,9.9,0.583,6.6,4.9,2.5,0.5,5.0,3.5,21.1
388,Perry Jones,8.03,2012,1013.0,0.539,0.514,0.091,0.28,0.16699999999999998,33,7.2,14.4,0.5,6.8,13.1,0.52,0.4,1.3,0.303,2.8,4.0,0.696,10.0,1.7,1.1,0.8,2.2,3.0,17.6
389,Marquis Teague,7.93,2012,1303.0,0.491,0.449,0.22699999999999998,0.33799999999999997,0.10800000000000001,40,4.5,10.8,0.41200000000000003,3.7,8.3,0.43799999999999994,0.8,2.5,0.325,2.6,3.7,0.7140000000000001,3.1,5.9,1.1,0.3,3.3,2.8,12.3
391,Anthony Bennett,5.71,2013,950.0,0.609,0.58,0.253,0.467,0.23800000000000002,35,8.5,16.0,0.5329999999999999,7.0,11.9,0.5870000000000001,1.5,4.0,0.375,5.2,7.5,0.701,12.0,1.4,1.0,1.8,2.7,3.4,23.7
392,Victor Oladipo,8.38,2013,1021.0,0.6709999999999999,0.648,0.22399999999999998,0.428,0.264,36,7.1,11.9,0.599,6.0,9.2,0.644,1.2,2.7,0.441,3.8,5.1,0.746,8.9,2.9,3.1,1.1,3.3,3.5,19.2
393,Otto Porter,7.59,2013,1097.0,0.59,0.541,0.29100000000000004,0.449,0.26,31,6.1,12.8,0.48,4.6,9.0,0.504,1.6,3.7,0.42200000000000004,4.4,5.7,0.777,8.5,3.1,2.1,1.0,1.7,2.2,18.3
394,Cody Zeller,8.38,2013,1062.0,0.624,0.564,0.006,0.7340000000000001,0.27399999999999997,36,7.5,13.3,0.564,7.5,13.2,0.5670000000000001,0.0,0.1,0.0,7.4,9.8,0.757,10.9,1.8,1.4,1.7,3.1,3.0,22.4
395,Alex Len,4.66,2013,1004.0,0.57,0.535,0.025,0.47200000000000003,0.2,38,6.9,12.9,0.534,6.9,12.6,0.544,0.0,0.3,0.125,4.2,6.1,0.6859999999999999,11.9,1.5,0.3,3.1,2.4,4.0,18.0
397,Ben McLemore,7.54,2013,1191.0,0.633,0.586,0.435,0.345,0.217,37,6.6,13.4,0.495,4.2,7.6,0.5529999999999999,2.5,5.8,0.42,4.0,4.6,0.87,6.4,2.5,1.2,0.8,2.6,2.3,19.8
398,Kentavious Caldwell-Pope,6.09,2013,1086.0,0.579,0.53,0.523,0.39299999999999996,0.23,32,6.9,15.8,0.433,3.8,7.6,0.498,3.1,8.3,0.373,5.0,6.2,0.799,8.3,2.1,2.4,0.6,2.4,2.6,21.8
399,Trey Burke,10.05,2013,1378.0,0.569,0.53,0.354,0.29600000000000004,0.249,39,7.5,16.3,0.46299999999999997,5.3,10.5,0.506,2.2,5.7,0.384,3.9,4.8,0.8009999999999999,3.6,7.5,1.8,0.6,2.5,2.1,21.1
400,C.J. McCollum,-3.01,2013,372.0,0.628,0.58,0.33,0.376,0.261,12,10.3,20.9,0.495,6.8,14.0,0.485,3.5,6.9,0.516,6.7,7.8,0.8490000000000001,6.5,3.8,1.8,0.4,3.4,2.3,30.9
401,Michael Carter-Williams,8.57,2013,1409.0,0.491,0.43799999999999994,0.302,0.47200000000000003,0.174,40,4.4,11.2,0.39299999999999996,3.4,7.8,0.436,1.0,3.4,0.294,3.7,5.3,0.6940000000000001,5.6,8.3,3.1,0.6,3.9,2.6,13.5
403,Kelly Olynyk,4.18,2013,845.0,0.675,0.642,0.08800000000000001,0.49700000000000005,0.315,32,10.2,16.2,0.629,9.8,14.8,0.66,0.4,1.4,0.3,6.2,8.0,0.7759999999999999,11.1,2.6,1.0,1.7,3.6,3.4,27.0
404,Shabazz Muhammad,7.82,2013,987.0,0.528,0.48700000000000004,0.23199999999999998,0.395,0.149,32,8.2,18.5,0.44299999999999995,6.6,14.2,0.46299999999999997,1.6,4.3,0.377,5.2,7.3,0.711,6.8,1.1,0.9,0.2,2.1,2.1,23.2
405,Shane Larkin,7.88,2013,1311.0,0.6,0.569,0.445,0.293,0.19899999999999998,36,5.6,11.7,0.479,3.5,6.5,0.5379999999999999,2.1,5.2,0.406,2.7,3.4,0.777,4.2,5.0,2.2,0.1,2.5,1.8,15.9
406,Tony Snell,6.63,2013,1093.0,0.562,0.516,0.48100000000000004,0.299,0.133,35,5.3,12.5,0.42200000000000004,2.9,6.5,0.452,2.3,6.0,0.39,3.1,3.7,0.843,3.4,3.7,1.1,0.6,2.6,1.7,16.0
409,Solomon Hill,7.47,2013,1154.0,0.579,0.541,0.423,0.359,0.17600000000000002,35,5.5,12.0,0.45799999999999996,3.5,6.9,0.508,2.0,5.1,0.39,3.3,4.3,0.7659999999999999,6.5,3.3,1.4,0.7,2.7,2.6,16.2
410,Tim Hardaway,10.05,2013,1324.0,0.5379999999999999,0.516,0.424,0.24100000000000002,0.136,38,6.1,13.9,0.43700000000000006,3.9,8.0,0.483,2.2,5.9,0.374,2.3,3.4,0.6940000000000001,5.3,2.8,0.8,0.5,2.1,2.2,16.7
411,Reggie Bullock,8.01,2013,1100.0,0.625,0.607,0.5670000000000001,0.205,0.207,35,6.3,12.9,0.483,3.1,5.6,0.545,3.2,7.3,0.436,2.0,2.7,0.767,8.2,3.7,1.6,0.4,1.6,1.8,17.7
412,Andre Roberson,7.95,2013,1036.0,0.524,0.515,0.21100000000000002,0.35600000000000004,0.166,31,5.1,10.6,0.48,4.4,8.4,0.521,0.7,2.2,0.32799999999999996,2.1,3.8,0.551,13.4,1.7,2.6,1.6,2.9,3.0,13.0
413,Archie Goodwin,5.78,2013,1048.0,0.509,0.46399999999999997,0.179,0.594,0.11699999999999999,33,6.0,13.6,0.44,5.3,11.2,0.478,0.6,2.4,0.266,5.2,8.1,0.637,5.8,3.4,1.4,0.6,3.9,3.7,17.8
414,Andrew Wiggins,11.4,2014,1148.0,0.563,0.499,0.299,0.5379999999999999,0.17,35,6.6,14.7,0.44799999999999995,5.1,10.3,0.493,1.5,4.4,0.341,6.1,7.9,0.775,7.1,1.9,1.4,1.2,2.8,3.3,20.8
415,Jabari Parker,8.48,2014,1074.0,0.5579999999999999,0.511,0.212,0.429,0.205,35,8.8,18.6,0.473,7.4,14.6,0.504,1.4,3.9,0.358,6.0,8.0,0.748,11.4,1.5,1.4,1.6,3.0,3.1,25.0
416,Joel Embiid,11.4,2014,647.0,0.655,0.629,0.028999999999999998,0.836,0.213,28,6.6,10.6,0.626,6.6,10.3,0.639,0.1,0.3,0.2,6.1,8.8,0.685,14.0,2.3,1.5,4.5,4.1,5.8,19.4
417,Aaron Gordon,9.04,2014,1187.0,0.503,0.516,0.11800000000000001,0.47100000000000003,0.183,38,6.4,12.9,0.495,5.8,11.4,0.513,0.5,1.5,0.35600000000000004,2.6,6.1,0.42200000000000004,10.2,2.5,1.1,1.3,1.9,3.0,15.8
418,Marcus Smart,8.34,2014,1014.0,0.552,0.486,0.425,0.648,0.22,31,6.4,15.2,0.42200000000000004,4.5,8.8,0.514,1.9,6.5,0.299,7.2,9.9,0.728,7.2,5.8,3.5,0.7,3.2,3.6,22.0
419,Julius Randle,9.89,2014,1233.0,0.5670000000000001,0.505,0.046,0.7390000000000001,0.191,40,6.4,12.7,0.501,6.3,12.1,0.517,0.1,0.6,0.16699999999999998,6.6,9.4,0.706,13.5,1.8,0.6,1.0,3.3,3.0,19.4
420,Nik Stauskas,9.65,2014,1281.0,0.642,0.586,0.528,0.518,0.193,36,5.8,12.3,0.47,2.9,5.8,0.5,2.9,6.5,0.442,5.2,6.4,0.8240000000000001,3.3,3.7,0.6,0.3,2.1,1.5,19.7
421,Noah Vonleh,6.64,2014,794.0,0.604,0.56,0.153,0.62,0.182,30,5.7,10.9,0.523,4.9,9.2,0.53,0.8,1.7,0.485,4.8,6.8,0.716,13.6,0.9,1.3,2.1,3.2,4.1,17.0
422,Elfrid Payton,-0.28,2014,1258.0,0.551,0.524,0.11599999999999999,0.648,0.177,35,7.5,14.8,0.509,7.1,13.1,0.541,0.4,1.7,0.259,5.9,9.6,0.609,6.7,6.6,2.5,0.7,4.0,2.6,21.4
423,Doug McDermott,7.17,2014,1181.0,0.644,0.603,0.341,0.32899999999999996,0.261,35,11.2,21.2,0.526,7.9,14.0,0.5670000000000001,3.3,7.2,0.449,6.0,7.0,0.8640000000000001,8.3,1.9,0.3,0.2,2.1,2.3,31.6
424,Zach LaVine,7.62,2014,904.0,0.545,0.524,0.444,0.23600000000000002,0.111,37,5.6,12.7,0.441,3.5,7.1,0.494,2.1,5.7,0.375,2.1,3.0,0.691,4.2,2.9,1.5,0.3,1.9,3.2,15.4
425,T.J. Warren,7.44,2014,1238.0,0.574,0.5479999999999999,0.17800000000000002,0.34700000000000003,0.209,35,11.1,21.1,0.525,10.0,17.3,0.58,1.0,3.7,0.267,5.0,7.3,0.69,8.1,1.3,2.0,0.7,2.7,3.1,28.1
426,Adreian Payne,9.38,2014,870.0,0.607,0.565,0.294,0.39,0.2,31,8.2,16.3,0.503,6.2,11.5,0.536,2.0,4.8,0.423,5.0,6.3,0.79,10.3,1.9,0.7,1.3,2.9,3.7,23.4
427,James Young,9.89,2014,1296.0,0.536,0.498,0.522,0.39299999999999996,0.145,40,5.6,13.9,0.40700000000000003,3.1,6.6,0.47,2.5,7.3,0.349,3.9,5.5,0.706,5.3,2.1,0.9,0.2,2.3,2.6,17.7
428,Tyler Ennis,7.25,2014,1215.0,0.511,0.45299999999999996,0.23600000000000002,0.414,0.18,34,4.9,11.9,0.41100000000000003,3.9,9.1,0.429,1.0,2.8,0.353,3.8,4.9,0.765,3.8,6.2,2.3,0.2,1.9,2.3,14.5
429,Gary Harris,9.38,2014,1131.0,0.561,0.518,0.505,0.312,0.188,35,6.9,16.1,0.429,4.0,8.0,0.507,2.9,8.1,0.35200000000000004,4.1,5.0,0.81,5.0,3.3,2.2,0.5,2.1,2.6,20.7
430,Mitch McGary,9.65,2014,198.0,0.5720000000000001,0.545,0.036000000000000004,0.436,0.20800000000000002,8,6.1,11.1,0.545,6.1,10.7,0.5660000000000001,0.0,0.4,0.0,3.2,4.8,0.667,13.3,2.4,3.0,1.2,2.6,5.1,15.4
431,Jordan Adams,7.62,2014,1082.0,0.603,0.545,0.34,0.441,0.237,36,7.7,15.9,0.485,5.8,10.5,0.551,1.9,5.4,0.35600000000000004,5.8,7.0,0.836,7.1,3.1,3.5,0.2,2.0,2.9,23.1
433,Shabazz Napier,8.62,2014,1404.0,0.591,0.517,0.433,0.48,0.226,40,6.1,14.1,0.429,3.6,8.0,0.44799999999999995,2.5,6.1,0.405,5.9,6.8,0.87,6.7,5.6,2.1,0.4,3.2,2.4,20.5
434,P.J. Hairston,8.01,2014,804.0,0.586,0.551,0.61,0.306,0.228,34,7.9,18.4,0.431,3.5,7.2,0.486,4.4,11.2,0.396,4.4,5.6,0.779,7.3,2.3,2.1,0.7,1.9,3.2,24.6
435,C.J. Wilcox,6.45,2014,1116.0,0.598,0.556,0.529,0.271,0.159,32,7.1,15.6,0.45299999999999996,3.8,7.3,0.522,3.2,8.2,0.391,3.7,4.2,0.873,4.3,2.9,1.1,1.1,1.9,2.7,21.0
436,Josh Huestis,9.0,2014,1266.0,0.51,0.488,0.223,0.295,0.126,36,4.9,10.9,0.451,4.1,8.5,0.483,0.8,2.4,0.33799999999999997,2.0,3.2,0.627,9.3,1.4,0.7,2.2,1.4,2.4,12.7
437,Kyle Anderson,7.62,2014,1196.0,0.5660000000000001,0.517,0.154,0.493,0.18899999999999997,36,6.1,12.6,0.48,5.1,10.7,0.48,0.9,1.9,0.483,4.6,6.2,0.737,10.5,7.8,2.1,0.9,3.7,2.0,17.6
438,Karl-Anthony Towns,8.67,2015,822.0,0.627,0.57,0.031,0.523,0.311,39,7.1,12.5,0.5660000000000001,7.0,12.1,0.5770000000000001,0.1,0.4,0.25,5.3,6.5,0.813,12.7,2.1,0.9,4.3,2.6,5.6,19.5
439,D'Angelo Russell,7.37,2015,1188.0,0.573,0.541,0.449,0.303,0.22899999999999998,35,7.8,17.3,0.449,4.6,9.6,0.479,3.2,7.8,0.41100000000000003,4.0,5.3,0.7559999999999999,6.7,5.9,1.9,0.4,3.4,2.5,22.7
442,Stanley Johnson,7.41,2015,1081.0,0.551,0.501,0.297,0.456,0.212,38,6.4,14.4,0.446,4.8,10.1,0.478,1.6,4.3,0.371,4.9,6.6,0.742,9.1,2.3,2.1,0.6,3.0,3.7,19.4
443,Frank Kaminsky,10.29,2015,1311.0,0.628,0.59,0.207,0.41,0.299,39,8.1,14.9,0.547,6.9,11.8,0.581,1.3,3.1,0.41600000000000004,4.8,6.1,0.78,9.8,3.1,1.0,1.7,1.9,2.0,22.3
444,Justise Winslow,9.87,2015,1135.0,0.5720000000000001,0.551,0.309,0.43799999999999994,0.196,39,6.1,12.5,0.486,4.5,8.7,0.516,1.6,3.9,0.418,3.5,5.5,0.6409999999999999,8.9,2.9,1.8,1.2,2.5,3.8,17.3
445,Myles Turner,9.07,2015,755.0,0.556,0.488,0.24100000000000002,0.436,0.213,34,6.2,13.6,0.455,5.3,10.3,0.513,0.9,3.3,0.27399999999999997,5.0,5.9,0.8390000000000001,11.8,1.1,0.5,4.7,2.5,4.3,18.3
446,Trey Lyles,8.67,2015,828.0,0.5429999999999999,0.496,0.121,0.425,0.213,36,5.7,11.6,0.488,5.5,10.2,0.536,0.2,1.4,0.138,3.6,4.9,0.735,9.1,1.8,0.9,0.8,2.0,2.8,15.1
447,Devin Booker,8.67,2015,816.0,0.6,0.5710000000000001,0.491,0.223,0.21899999999999997,38,6.6,14.1,0.47,3.8,7.2,0.527,2.8,6.9,0.41100000000000003,2.6,3.1,0.828,3.7,2.1,0.8,0.1,1.8,2.8,18.7
448,Cameron Payne,-2.81,2015,1127.0,0.573,0.534,0.415,0.315,0.258,35,8.7,19.1,0.456,5.7,11.1,0.513,3.0,7.9,0.377,4.7,6.0,0.787,4.6,7.4,2.4,0.6,3.1,2.6,25.1
449,Kelly Oubre,12.13,2015,756.0,0.555,0.512,0.38299999999999995,0.444,0.18,36,5.8,13.1,0.444,4.0,8.1,0.49700000000000005,1.8,5.0,0.358,4.2,5.8,0.718,9.5,1.5,2.2,0.7,2.3,3.8,17.6
450,Terry Rozier,8.98,2015,1260.0,0.509,0.457,0.301,0.33799999999999997,0.191,36,6.8,16.5,0.41100000000000003,5.3,11.6,0.456,1.5,5.0,0.306,4.4,5.6,0.79,6.3,3.4,2.3,0.2,2.5,2.0,19.5
451,Rashad Vaughn,3.38,2015,742.0,0.547,0.521,0.43,0.299,0.132,23,7.8,17.7,0.439,4.9,10.1,0.48100000000000004,2.9,7.6,0.38299999999999995,3.7,5.3,0.6940000000000001,6.0,1.9,1.0,0.4,2.7,2.9,22.1
452,Sam Dekker,10.29,2015,1239.0,0.605,0.586,0.37200000000000005,0.278,0.225,40,6.9,13.1,0.525,5.3,8.2,0.639,1.6,4.9,0.331,2.6,3.6,0.708,7.1,1.6,0.7,0.6,1.2,1.4,17.9
453,Jerian Grant,7.02,2015,1408.0,0.5920000000000001,0.536,0.37,0.511,0.218,38,5.8,12.1,0.478,4.4,7.6,0.5720000000000001,1.4,4.5,0.316,4.8,6.2,0.78,3.3,7.2,1.8,0.5,2.3,2.1,17.8
454,Delon Wright,7.42,2015,1165.0,0.619,0.5489999999999999,0.225,0.565,0.289,35,5.7,11.1,0.509,4.8,8.6,0.5539999999999999,0.9,2.5,0.35600000000000004,5.3,6.3,0.836,5.9,6.1,2.5,1.2,2.3,1.7,17.5
455,Justin Anderson,7.81,2015,724.0,0.61,0.5720000000000001,0.47100000000000003,0.371,0.24100000000000002,26,5.7,12.2,0.466,3.1,6.5,0.479,2.6,5.7,0.452,3.5,4.5,0.78,5.8,2.5,0.9,0.8,1.7,1.7,17.5
456,Bobby Portis,6.79,2015,1076.0,0.5820000000000001,0.552,0.064,0.335,0.22699999999999998,36,9.3,17.3,0.536,8.8,16.2,0.541,0.5,1.1,0.467,4.3,5.8,0.737,11.9,1.6,1.4,1.9,2.1,2.9,23.4
457,Rondae Hollis-Jefferson,7.41,2015,1090.0,0.573,0.513,0.105,0.745,0.218,38,5.1,10.1,0.502,4.8,9.0,0.537,0.2,1.1,0.207,5.3,7.5,0.7070000000000001,9.5,2.2,1.6,1.2,2.2,3.4,15.7
458,Tyus Jones,9.87,2015,1322.0,0.575,0.489,0.38299999999999995,0.5,0.196,39,4.1,9.8,0.41700000000000004,2.7,6.1,0.44,1.4,3.8,0.379,4.4,4.9,0.889,4.1,6.6,1.8,0.1,2.3,1.4,13.9
459,Jarell Martin,5.63,2015,1159.0,0.565,0.526,0.131,0.511,0.174,33,7.0,13.7,0.509,6.5,11.9,0.545,0.5,1.8,0.26899999999999996,4.8,7.0,0.69,10.5,2.0,1.3,0.8,3.2,3.2,19.3
460,Larry Nance Jr.,-0.04,2015,1082.0,0.581,0.5329999999999999,0.11699999999999999,0.40299999999999997,0.19899999999999998,31,6.8,13.3,0.514,6.3,11.8,0.5379999999999999,0.5,1.6,0.33299999999999996,4.2,5.4,0.7859999999999999,8.3,2.8,1.4,1.4,2.6,2.6,18.4
461,R.J. Hunter,-2.03,2015,1294.0,0.552,0.473,0.51,0.447,0.215,35,6.3,15.9,0.395,3.8,7.8,0.488,2.5,8.1,0.305,6.2,7.1,0.878,5.1,3.9,2.3,1.1,2.4,2.6,21.3
462,Chris McCullough,7.68,2015,450.0,0.508,0.48200000000000004,0.009000000000000001,0.628,0.126,16,4.8,10.0,0.478,4.7,10.0,0.473,0.1,0.1,1.0,3.6,6.3,0.563,9.8,1.6,2.4,2.9,3.1,3.6,13.2
463,Kevon Looney,8.27,2015,1113.0,0.532,0.505,0.165,0.45799999999999996,0.172,36,5.4,11.5,0.47,4.6,9.6,0.48100000000000004,0.8,1.9,0.415,3.3,5.3,0.626,11.9,1.8,1.7,1.2,1.6,3.7,15.0
464,Brandon Ingram,10.59,2016,1246.0,0.552,0.525,0.40299999999999997,0.35100000000000003,0.157,36,6.9,15.5,0.442,4.3,9.3,0.46399999999999997,2.6,6.3,0.41,3.7,5.5,0.682,7.8,2.3,1.3,1.6,2.3,2.4,20.0
465,Jaylen Brown,7.87,2016,939.0,0.518,0.47100000000000003,0.27,0.574,0.11699999999999999,34,6.9,16.1,0.431,5.7,11.8,0.48200000000000004,1.3,4.3,0.294,6.0,9.2,0.654,7.8,2.9,1.2,0.9,4.5,4.6,21.2
466,Kris Dunn,8.46,2016,1088.0,0.541,0.499,0.275,0.462,0.166,33,6.8,15.1,0.44799999999999995,5.2,11.0,0.47700000000000004,1.5,4.2,0.37200000000000005,4.9,7.0,0.695,6.5,7.6,3.0,0.7,4.3,3.4,19.9
467,Buddy Hield,11.14,2016,1309.0,0.665,0.623,0.536,0.33299999999999996,0.23199999999999998,37,9.2,18.4,0.501,4.7,8.5,0.552,4.5,9.8,0.457,5.4,6.1,0.88,6.5,2.3,1.3,0.6,3.5,2.3,28.3
468,Jamal Murray,8.84,2016,1267.0,0.59,0.5589999999999999,0.515,0.28300000000000003,0.19399999999999998,36,7.7,17.0,0.45399999999999996,4.1,8.2,0.502,3.6,8.7,0.408,3.8,4.8,0.7829999999999999,5.9,2.5,1.1,0.3,2.7,2.4,22.7
469,Marquese Chriss,8.12,2016,848.0,0.585,0.561,0.17800000000000002,0.382,0.14800000000000002,34,8.4,15.9,0.53,7.5,13.1,0.568,1.0,2.8,0.35,4.2,6.1,0.682,8.6,1.2,1.5,2.6,3.3,6.5,22.0
471,Domantas Sabonis,4.23,2016,1149.0,0.654,0.618,0.036000000000000004,0.499,0.26,36,8.3,13.6,0.611,8.1,13.1,0.621,0.2,0.5,0.35700000000000004,5.2,6.8,0.769,14.8,2.2,0.8,1.1,3.2,4.0,22.0
472,Taurean Prince,9.76,2016,1040.0,0.537,0.493,0.33899999999999997,0.337,0.14800000000000002,34,7.2,16.7,0.43200000000000005,5.2,11.0,0.469,2.0,5.7,0.361,4.3,5.6,0.774,7.9,3.0,1.7,1.0,3.5,3.3,20.8
473,Denzel Valentine,6.94,2016,1022.0,0.608,0.579,0.527,0.214,0.284,31,8.0,17.4,0.462,4.0,8.2,0.48100000000000004,4.1,9.2,0.444,3.2,3.7,0.853,9.1,9.4,1.3,0.3,3.3,2.0,23.3
474,Wade Baldwin,8.68,2016,1002.0,0.5710000000000001,0.49200000000000005,0.32,0.614,0.179,33,5.4,12.6,0.42700000000000005,3.8,8.6,0.43700000000000006,1.6,4.0,0.406,6.2,7.7,0.799,5.3,6.9,1.6,0.4,3.6,3.4,18.6
475,Henry Ellenson,5.57,2016,1107.0,0.534,0.48,0.239,0.439,0.14300000000000002,33,7.0,15.7,0.446,5.9,12.0,0.495,1.1,3.8,0.28800000000000003,5.2,6.9,0.7490000000000001,11.6,2.1,1.0,1.8,2.8,3.0,20.3
476,Malik Beasley,8.16,2016,1014.0,0.583,0.541,0.361,0.326,0.158,34,7.3,15.5,0.47100000000000003,5.1,9.9,0.518,2.2,5.6,0.387,4.1,5.0,0.813,7.1,2.0,1.3,0.2,2.3,3.0,20.9
477,Caris LeVert,7.92,2016,464.0,0.636,0.596,0.401,0.42,0.243,15,7.1,14.0,0.506,4.6,8.4,0.546,2.5,5.6,0.446,4.7,5.9,0.794,6.9,6.4,1.3,0.3,2.2,1.6,21.3
478,DeAndre Bembry,4.93,2016,1341.0,0.539,0.513,0.258,0.358,0.174,36,7.1,14.8,0.479,6.1,11.0,0.5529999999999999,1.0,3.8,0.266,3.5,5.3,0.657,8.3,4.8,1.5,0.9,2.2,2.6,18.7
479,Malachi Richardson,9.75,2016,1272.0,0.51,0.465,0.544,0.381,0.10400000000000001,37,4.8,13.0,0.369,2.3,5.9,0.38799999999999996,2.5,7.0,0.353,3.6,4.9,0.72,5.0,2.4,1.3,0.3,2.5,2.9,15.6
481,Pascal Siakam,-3.54,2016,1176.0,0.569,0.542,0.028999999999999998,0.396,0.265,34,9.4,17.3,0.539,9.3,16.8,0.5489999999999999,0.1,0.5,0.2,4.7,6.9,0.6779999999999999,13.4,2.0,1.2,2.6,2.3,3.1,23.5
482,Skal Labissiere,8.84,2016,567.0,0.54,0.516,0.011000000000000001,0.326,0.142,36,6.9,13.4,0.516,6.9,13.3,0.521,0.0,0.1,0.0,2.9,4.4,0.6609999999999999,8.0,0.8,0.6,4.2,2.3,7.6,16.7
483,Dejounte Murray,8.12,2016,1139.0,0.485,0.451,0.243,0.342,0.098,34,7.1,17.1,0.41600000000000004,5.9,12.9,0.457,1.2,4.1,0.28800000000000003,3.9,5.8,0.6629999999999999,7.1,5.3,2.2,0.4,3.9,3.2,19.2
484,Damian Jones,8.68,2016,866.0,0.584,0.59,0.01,0.5379999999999999,0.175,33,8.5,14.4,0.59,8.5,14.3,0.595,0.0,0.1,0.0,4.2,7.8,0.536,10.5,1.8,0.4,2.5,3.0,5.0,21.2
