Anthony Bennett,5.7,.238
Victor Oladipo,6.7,.264
Otto Porter,7.1,.260
Cody Zeller,7.3,.274
Alex Len,5.0,.200
Nerlens Noel,3.9,.206
Ben McLemore,6.5,.217
Kentavious Caldwell-Pope,6.2,.230
Trey Burke,8.6,.249
C.J. McCollum,2.4,.261
Michael Carter-Williams,6.1,.174
Steven Adams,3.5,.185
Kelly Olynyk,6.7,.315
Shabazz Muhammad,3.7,.149
Shane Larkin,6.5,.199
Tony Snell,3.6,.133
Gorgui Dieng,5.6,.219
Mason Plumlee,6.9,.220
Solomon Hill,5.1,.176
Tim Hardaway,4.5,.136
Reggie Bullock,5.7,.207
Andre Roberson,4.3,.166
Archie Goodwin,3.1,.117
