Greg Oden,8.2,.355
Kevin Durant,8.8,.280
Al Horford,7.5,.283
Mike Conley,6.1,.199
Jeff Green,6.3,.204
Corey Brewer,5.1,.192
Brandan Wright,7.6,.301
Joakim Noah,7.7,.296
Spencer Hawes,4.4,.198
Acie Law,5.9,.203
Thaddeus Young,3.3,.145
Julian Wright,6.6,.252
Al Thornton,6.6,.241
Rodney Stuckey,3.6,.149
Nick Young,5.8,.189
Sean Williams,2.3,.194
Javaris Crittenton,3.6,.145
Jason Smith,4.7,.206
Daequan Cook,3.5,.180
Jared Dudley,5.8,.202
Wilson Chandler,3.9,.145
Morris Almond,7.1,.265
Aaron Brooks,5.7,.178
Arron Afflalo,5.5,.187
Alando Tucker,5.9,.201
