Steven Hunter,3.5,.173,8.02,2001
Kirk Haston,4.3,.167,11.05,2001
Michael Bradley,6.4,.244,,2001
Jason Collins,7.5,.336,9.86,2001
Zach Randolph,5.1,.315,9.54,2001
Brendan Haywood,5.4,.238,11.77,2001
Joseph Forte,4.8,.168,11.77,2001
Jeryl Sasser,2.9,.114,3.95,2001
Brandon Armstrong,4.8,.186,1.77,2001
Gerald Wallace,3.5,.168,6.27,2001
Samuel Dalembert,2.9,.184,6.03,2001
Jamaal Tinsley,4.0,.159,4.87,2001
Mike Dunleavy,7.2,.253,9.16,2002
Drew Gooden,6.6,.235,9.35,2002
Dajuan Wagner,4.1,.143,4.72,2002
Chris Wilcox,4.0,.186,9.38,2002
Caron Butler,5.7,.188,7.43,2002
Jared Jeffries,5.0,.170,12.08,2002
Melvin Ely,6.7,.270,5.20,2002
Marcus Haislip,3.5,.167,10.93,2002
Fred Jones,6.6,.238,6.93,2002
Juan Dixon,6.8,.225,9.38,2002
Curtis Borchardt,6.9,.308,9.03,2002
Ryan Humphrey,5.9,.215,,2002
Kareem Rush,4.7,.164,6.81,2002
Qyntel Woods,4.7,.164,6.81,2002
Casey Jacobsen,4.4,.167,9.03,2002
Tayshaun Prince,5.7,.212,11.99,2002
Frank Williams,3.8,.135,9.94,2002
John Salmons,4.9,.182,5.52,2002
Chris Jefferies,2.6,.142,,2002
Dan Dickau,6.5,.234,,2002
Carmelo Anthony,5.8,.183,9.02,2003
Chris Bosh,6.4,.267,7.94,2003
Dwyane Wade,6.5,.246,7.28,2003
Chris Kaman,6.8,.259,1.79,2003
Kirk Hinrich,6.3,.204,10.53,2003
T.J. Ford,4.3,.155,9.27,2003
Mike Sweetney,9.8,.355,6.27,2003
Jarvis Hayes,4.0,.184,,2003
Nick Collison,9.1,.296,10.53,2003
Marcus Banks,5.6,.195,4.67,2003
Luke Ridnour,5.0,.170,6.11,2003
Reece Gaines,5.5,.213,6.84,2003
David West,9.7,.332,4.61,2003
Dahntay Jones,4.8,.191,,2003
Brian Cook,5.6,.240,6.76,2003
Josh Howard,7.0,.281,6.96,2003
Emeka Okafor,9.9,.339,7.77,2004
Ben Gordon,7.0,.209,7.77,2004
Devin Harris,7.8,.267,7.49,2004
Josh Childress,5.1,.299,4.34,2004
Luol Deng,5.6,.195,10.86,2004
Rafael Araujo,6.0,.268,6.30,2004
