Derrick Rose,6.6,.226
Michael Beasley,10.7,.413
O.J. Mayo,5.2,.172
Russell Westbrook,5.3,.161
Kevin Love,11.3,.391
Eric Gordon,6.0,.217
Joe Alexander,6.1,.213
D.J. Augustin,6.0,.169
Brook Lopez,5.4,.261
Jerryd Bayless,4.8,.178
Jason Thompson,6.9,.236
Brandon Rush,5.1,.180
Anthony Randolph,3.5,.136
Robin Lopez,5.9,.269
Marreese Speights,6.8,.313
Roy Hibbert,6.8,.305
JaVale McGee,4.0,.179
J.J. Hickson,3.9,.175
Ryan Anderson,5.5,.204
Courtney Lee,6.9,.256
Kosta Koufos,5.3,.211
George Hill,7.8,.266
Darrell Arthur,5.8,.234
Donte Greene,3.9,.124
D.J. White,7.6,.275
J.R. Giddens,6.3,.150
