John Wall,6.3,.196
Evan Turner,6.8,.247
Derrick Favors,4.8,.195
Wesley Johnson,5.7,.133
DeMarcus Cousins,6.5,.290
Ekpe Udoh,4.8,.124
Greg Monroe,5.5,.189
Al-Farouq Aminu,4.3,.176
Gordon Hayward,6.9,.224
Paul George,4.2,.173
Cole Aldrich,5.9,.245
Xavier Henry,4.9,.197
Ed Davis,3.1,.194
Patrick Patterson,7.0,.223
Larry Sanders,5.4,.228
Luke Babbitt,6.7,.213
Eric Bledsoe,3.5,.126
Avery Bradley,3.2,.127
James Anderson,6.9,.247
Craig Brackins,4.0,.143
Elliot Williams,1.1,.076
Trevor Booker,5.5,.223
Damion James,6.5,.252
Dominique Jones,6.2,.204
Quincy Pondexter,7.3,.250
Jordan Crawford,2.2,.119
Greivis Vasquez,5.8,.208
Daniel Orton,1.7,.135
Lazar Hayward,5.4,.198
