Brandon Ingram,8.5,13.8,-0.3,2.8,-0.007,.069,-3.8,-1.4,-1.1,0.3
Jaylen Brown,10.3,13.2,1.5,3.9,.053,.098,-4.0,-0.3,-0.7,0.8
Kris Dunn,8.1,14.5,0.1,0.8,.004,.025,-2.2,-0.2,-0.1,0.7
Buddy Hield,11.8,9.9,1.3,0.5,.032,.020,-2.7,-3.5,-0.4,-0.4
Jamal Murray,11.9,16.1,1.3,4.8,.037,.101,-2.6,-0.2,-0.3,1.0
Marquese Chriss,12.3,10.5,1.8,0.5,.050,.017,-1.6,-2.3,0.2,-0.1
Jakob Poeltl,12.2,17.2,1.6,4.9,.125,.171,-0.7,3.2,0.2,1.8
Domantas Sabonis,6.9,17.4,0.8,4.3,.022,.126,-4.8,-0.3,-1.2,0.7
Taurean Prince,9.8,12.3,1.1,1.6,.054,.034,-2.3,-1.1,-0.1,0.5
Denzel Valentine,7.3,12.4,0.6,2.5,.031,.060,-2.7,-0.4,-0.2,0.8
Wade Baldwin,6.5,-10.7,-0.3,0.0,-0.041,-0.325,-5.7,-26.5,-0.4,0.0
Henry Ellenson,7.5,6.3,-0.2,-0.3,-0.071,-0.073,-8.2,-9.6,-0.2,-0.3
Malik Beasley,13.7,8.8,0.2,0.3,.057,.023,-3.9,-5.3,-0.1,-0.5
Caris LeVert,12.3,14.2,1.8,1.9,.070,.054,-1.1,-0.5,0.3,0.6
DeAndre Bembry,8.8,5.7,0.3,-0.5,.038,-0.070,-4.3,-6.0,-0.2,-0.4
Malachi Richardson,9.6,5.9,0.1,-0.1,.028,-0.019,-5.5,-6.5,-0.2,-0.4
Brice Johnson,17.2,18.2,0.0,0.2,-0.165,.085,1.3,-2.8,0.0,0.0
Pascal Siakam,11.5,15.0,1.6,4.4,.089,.139,-1.1,2.3,0.2,1.7
Skal Labissiere,16.8,15.2,1.3,1.6,.099,.065,-2.6,-2.3,-0.1,-0.1
Dejounte Murray,9.6,14.6,0.0,2.7,.004,.084,-4.8,0.9,-0.2,1.1
Damian Jones,5.3,6.2,0.0,0.0,.018,.056,-9.6,-6.3,-0.2,0.0
