Andrew Wiggins,13.9,16.5,2.1,4.1,.034,.069,-2.3,-2.1,-0.2,-0.1
Jabari Parker,14.5,14.8,1.3,3.6,.088,.072,-1.2,-2.4,0.1,-0.2
Joel Embiid,24.1,23.1,1.9,6.2,.117,.156,3.1,2.8,1.0,2.3
Aaron Gordon,11.4,17.0,1.0,5.4,.060,.139,-2.8,1.8,-0.2,1.8
Marcus Smart,11.0,11.3,2.9,2.9,.077,.083,1.1,0.7,1.4,1.1
Julius Randle,-7.5,13.9,-0.1,1.6,-0.276,.035,-16.8,-3.6,-0.1,-0.9
Nik Stauskas,7.5,9.2,0.5,0.5,.021,.012,-3.9,-3.6,-0.5,-0.7
Noah Vonleh,13.2,8.6,0.5,1.2,.085,.047,-5.6,-4.0,-0.2,-0.6
Elfrid Payton,13.8,13.9,2.3,2.2,.044,.050,-0.7,-1.3,0.8,0.4
Doug McDermott,6.1,10.9,0.0,2.8,-0.005,.073,-8.0,-3.1,-0.5,-0.5
Zach LaVine,11.3,14.3,-0.7,2.6,-0.018,.054,-4.5,-1.4,-1.2,0.4
T.J. Warren,14.0,15.7,1.1,2.2,.085,.101,-2.1,-1.2,0.0,0.2
Adreian Payne,7.7,2.9,-0.5,0.0,-0.033,-0.039,-5.9,-13.9,-0.7,-0.1
James Young,8.5,3.6,0.3,0.1,.047,.013,-3.8,-4.6,-0.2,-0.1
Tyler Ennis,7.3,12.0,-0.3,0.0,-0.040,-0.005,-6.7,-6.8,-0.5,-0.1
Gary Harris,4.9,12.7,-0.7,4.0,-0.046,.079,-4.3,0.2,-0.4,1.3
Mitch McGary,16.6,7.4,1.3,0.0,.127,-0.018,-2.4,-7.7,-0.1,-0.1
Jordan Adams,12.8,17.3,0.4,0.0,.073,.015,-0.6,1.9,0.1,0.0
Rodney Hood,12.3,14.1,2.2,6.0,.098,.112,-1.1,0.7,0.2,1.7
Shabazz Napier,9.3,9.6,0.5,0.1,.024,.004,-2.6,-4.9,-0.2,-0.4
P.J. Hairston,9.0,6.9,0.3,0.6,.022,.021,-3.5,-4.2,-0.3,-0.7
C.J. Wilcox,8.5,12.9,0.0,0.3,-0.024,.089,-6.0,-2.4,-0.1,0.0
Josh Huestis,6.7,26.1,0.0,0.2,.010,.265,-7.4,5.7,-0.1,0.1
Kyle Anderson,8.2,12.9,0.3,3.5,.044,.133,-2.7,1.8,-0.1,1.2
