Kyrie Irving,4.1,5.3,.125,.125,3.3,3.3,2.1,2.8
Derrick Williams,1.8,3.0,.059,.076,-3.1,-3.7,-0.4,-0.8
Tristan Thompson,1.1,5.2,.038,.098,-4.2,-0.5,-0.8,1.0
Brandon Knight,1.3,1.1,.029,.022,-1.9,-2.1,0.0,-0.1
Kemba Walker,0.3,4.8,.009,.080,-1.2,1.5,0.3,2.5
Jimmer Fredette,0.3,1.1,.012,.052,-4.4,-3.6,-0.7,-0.4
Klay Thompson,1.7,4.3,.050,.070,-1.9,-0.1,0.1,1.4
Alec Burks,1.5,1.0,.076,.044,-2.5,-2.7,-0.1,-0.2
Markieff Morris,1.5,1.7,.059,.044,-0.6,-1.0,0.4,0.5
Marcus Morris,-0.2,1.8,-0.083,.058,-10.0,-1.9,-0.3,0.0
Kawhi Leonard,5.5,6.2,.171,.166,4.3,3.9,2.4,2.7
Nikola Vucevic,1.8,5.7,.109,.106,-2.1,0.4,0.0,1.6
Iman Shumpert,2.4,1.9,.068,.094,0.1,0.6,0.9,0.7
Chris Singleton,1.5,0.5,.052,.028,-1.0,-3.3,0.4,-0.3
Tobias Harris,0.9,2.4,.087,.089,-3.5,-0.8,-0.2,0.4
Nolan Smith,-0.3,-0.5,-0.029,-0.082,-5.4,-8.6,-0.5,-0.5
Kenneth Faried,4.6,7.8,.212,.167,3.4,2.2,1.4,2.4
Reggie Jackson,0.1,2.5,.011,.121,-3.9,-0.8,-0.2,0.3
MarShon Brooks,0.8,1.3,.022,.068,-2.5,-2.2,-0.2,0.0
Jordan Hamilton,0.3,0.8,.055,.100,-2.4,-1.0,0.0,0.1
Norris Cole,0.0,0.6,.000,.019,-5.9,-4.5,-1.2,-1.0
Cory Joseph,0.0,0.9,.001,.113,-4.8,-0.5,-0.2,0.1
Jimmy Butler,1.1,7.0,.144,.158,-1.3,1.9,0.1,2.1
