Mike Dunleavy,1.5,5.2,.055,.107,-1.3,1.8,0.2,2.2
Drew Gooden,1.7,0.4,.043,.015,-3.3,-3.6,-0.6,-0.5
Dajuan Wagner,0.3,-0.1,.011,-0.008,-5.2,-5.7,-1.1,-0.7
Chris Wilcox,0.6,2.6,.062,.094,-4.0,-2.1,-0.2,0.0
Caron Butler,5.1,2.1,.086,.050,1.7,-2.1,2.7,-0.1
Jared Jeffries,0.3,0.6,.049,.014,-2.4,-3.5,0.0,-0.7
Melvin Ely,0.8,0.4,.048,.039,-4.4,-3.7,-0.5,-0.2
Marcus Haislip,0.0,0.6,-0.003,.113,-7.2,-2.4,-0.6,0.0
Fred Jones,0.0,4.0,.019,.126,-3.7,-0.1,0.0,0.7
Juan Dixon,0.1,1.4,.005,.044,-4.7,-2.6,-0.4,-0.2
Curtis Borchardt,0.1,0.8,.026,.046,-3.2,-2.2,-0.1,0.0
Ryan Humphrey,-0.5,-0.5,-0.052,-0.071,-8.5,-9.1,-0.7,-0.6
Kareem Rush,-0.6,1.5,-0.033,.056,-7.2,-3.0,-1.1,-0.3
Qyntel Woods,0.2,-0.2,.034,-0.012,-5.0,-5.3,-0.3,-0.6
Casey Jacobsen,1.2,2.6,.051,.068,-2.7,-1.3,-0.2,0.3
Tayshaun Prince,0.8,7.5,.084,.134,-2.0,2.1,0.0,2.8
Frank Williams,-0.1,0.3,-0.035,.023,-5.9,-4.6,-0.2,-0.5
John Salmons,0.6,2.1,.058,.064,-3.0,-1.2,-0.1,0.3
Chris Jefferies,-0.5,0.0,-0.039,.000,-6.7,-5.0,-0.8,-0.1
Dan Dickau,0.0,0.0,.001,-0.003,-6.3,-5.2,-0.6,-0.2
