Andrew Bogut,10.9,.358
Marvin Williams,4.8,.239
Deron Williams,4.6,.140
Chris Paul,4.6,.171
Raymond Felton,5.1,.179
Charlie Villanueva,4.8,.240
Channing Frye,7.4,.256
Ike Diogu,8.4,.290
Sean May,7.7,.311
Rashad McCants,5.0,.232
Antoine Wright,5.9,.225
Joey Graham,5.5,.150
Danny Granger,6.5,.238
Hakim Warrick,7.5,.235
Julius Hodge,5.1,.172
Nate Robinson,4.9,.179
Jarrett Jack,6.1,.222
Francisco Garcia,7.5,.247
Luther Head,7.2,.222
Jason Maxiell,7.3,.283
Linas Kleiza,3.0,.115
Wayne Simien,5.7,.255
David Lee,5.0,.225
