Karl-Anthony Towns,22.5,25.9,8.3,12.7,.151,.201,2.8,4.9,3.2,5.3
D'Angelo Russell,13.2,15.3,0.0,1.3,.001,.033,-1.8,-0.5,0.1,0.7
Jahlil Okafor,17.1,14.8,1.2,1.2,.037,.050,-4.1,-3.3,-0.8,-0.4
Willie Cauley-Stein,15.3,16.3,3.8,2.9,.130,.100,0.7,-1.2,1.0,0.3
Stanley Johnson,8.7,7.2,0.6,0.4,.018,.012,-2.6,-2.0,-0.2,0.0
Frank Kaminsky,12.5,13.0,3.3,2.3,.093,.056,-1.2,-1.5,0.3,0.2
Justise Winslow,8.4,8.2,2.5,-0.1,.054,-0.009,-0.6,-2.8,0.8,-0.1
Myles Turner,15.4,18.5,3.1,8.0,.109,.151,-2.3,2.4,-0.1,2.8
Trey Lyles,11.6,9.9,2.3,0.8,.079,.031,-2.8,-3.0,-0.3,-0.3
Devin Booker,11.9,14.6,1.9,2.0,.043,.035,-3.1,-2.3,-0.6,-0.2
Cameron Payne,12.9,5.5,1.4,-0.3,.093,-0.035,-1.3,-7.0,0.1,-0.6
Kelly Oubre,8.2,9.1,0.4,2.0,.031,.061,-5.8,-2.3,-0.7,-0.1
Terry Rozier,5.0,10.9,-0.3,1.4,-0.047,.054,-6.6,-2.5,-0.4,-0.2
Rashad Vaughn,4.2,7.8,-0.8,0.0,-0.036,-0.005,-6.1,-4.9,-1.0,-0.3
Sam Dekker,10.8,13.1,0.0,3.1,.116,.104,0.5,-1.0,0.0,0.3
Jerian Grant,11.2,13.2,0.8,2.5,.030,.119,-3.4,-0.3,-0.5,0.4
Delon Wright,17.8,15.0,0.6,1.1,.124,.117,-0.7,1.1,0.1,0.4
Justin Anderson,12.3,13.9,1.1,1.9,.083,.074,-1.2,-1.6,0.1,0.1
Bobby Portis,13.8,14.9,1.5,2.4,.066,.114,-3.3,-3.0,-0.4,-0.3
Rondae Hollis-Jefferson,14.2,13.7,1.2,2.6,.094,.070,1.2,-1.0,0.5,0.4
Tyus Jones,11.2,13.8,0.3,1.5,.027,.096,-3.7,-1.8,-0.3,0.0
Jarell Martin,14.0,8.7,0.8,0.6,.100,.054,-3.2,-6.4,-0.1,-0.6
Larry Nance Jr.,13.4,15.7,2.2,3.5,.083,.118,-1.4,1.9,0.2,1.4
R.J. Hunter,7.7,-3.2,0.3,0.0,.045,-0.088,-3.5,-11.4,-0.1,0.0
Chris McCullough,12.2,15.2,0.3,0.1,.043,.072,-1.0,-4.6,0.1,-0.1
Kevon Looney,18.6,13.6,0.1,1.4,.192,.155,-9.5,0.4,0.0,0.3
