John Wall,15.8,17.7,2.2,3.5,.041,.071,-0.2,0.6,1.2,1.6
Evan Turner,10.8,12.6,2.3,2.4,.060,.068,-2.4,-1.8,-0.2,0.1
Derrick Favors,13.8,12.6,2.9,1.9,.091,.083,-2.1,-2.7,0.0,-0.2
Wesley Johnson,10.2,8.0,1.3,0.6,.030,.021,-1.6,-1.6,0.2,0.1
DeMarcus Cousins,14.6,21.7,1.1,4.2,.022,.104,-1.4,-0.3,0.4,0.8
Ekpe Udoh,9.7,12.5,0.7,2.1,.032,.077,-2.0,0.2,0.0,0.7
Greg Monroe,18.0,22.0,6.6,7.0,.143,.161,2.5,3.8,2.5,3.1
Al-Farouq Aminu,9.6,10.6,0.7,1.4,.022,.044,-3.0,-1.3,-0.4,0.2
Gordon Hayward,10.7,15.5,1.2,4.9,.048,.116,-2.8,1.9,-0.2,2.0
Paul George,13.0,16.5,2.4,6.0,.091,.148,0.0,3.9,0.6,2.9
Cole Aldrich,7.0,17.7,0.2,0.6,.066,.176,-0.8,0.3,0.0,0.1
Xavier Henry,7.0,9.2,0.2,0.2,.021,.015,-6.0,-4.6,-0.5,-0.5
Ed Davis,15.8,14.2,4.0,3.9,.119,.121,0.3,0.9,0.9,1.1
Patrick Patterson,16.7,11.5,2.4,1.6,.134,.052,0.5,-2.9,0.5,-0.3
Larry Sanders,11.0,13.3,1.0,1.0,.057,.072,-3.2,1.5,-0.3,0.6
Luke Babbitt,1.0,11.3,-0.4,0.7,-0.143,.064,-12.0,-3.4,-0.3,-0.2
Eric Bledsoe,10.8,11.2,0.3,0.2,.008,.022,-2.0,-0.9,0.0,0.1
Avery Bradley,2.2,11.3,-0.5,2.4,-0.139,.085,-9.7,-1.3,-0.3,0.2
James Anderson,8.5,8.8,0.3,0.5,.051,.040,-3.4,-3.6,-0.1,-0.2
Craig Brackins,0.1,4.3,-0.1,-0.1,-0.154,-0.065,-11.5,-8.1,-0.1,-0.1
Elliot Williams,18.8,8.7,0.3,0.3,.105,.014,-1.4,-5.7,0.0,-1.1
Trevor Booker,15.3,15.4,2.6,3.0,.119,.113,-0.7,0.3,0.3,0.7
Damion James,10.1,6.1,0.1,-0.2,.015,-0.043,-3.4,-6.3,-0.1,-0.2
Dominique Jones,10.6,11.8,0.0,0.2,.007,.044,-3.4,-2.9,0.0,-0.1
Quincy Pondexter,8.5,9.4,0.9,1.7,.060,.082,-2.8,-1.9,-0.1,0.0
Jordan Crawford,11.8,7.6,-0.6,-0.3,-0.026,-0.090,-3.8,-7.5,-0.5,-0.2
Greivis Vasquez,9.4,14.2,0.5,2.3,.030,.064,-4.6,-1.6,-0.6,0.2
Daniel Orton,12.7,14.0,0.5,0.3,.129,.135,1.2,-1.3,0.2,0.0
Lazar Hayward,10.8,3.1,0.3,-0.1,.035,-0.040,-3.6,-8.0,-0.2,-0.2
