Karl-Anthony Towns,6.4,.311
D'Angelo Russell,6.8,.229
Jahlil Okafor,6.7,.235
Willie Cauley-Stein,6.0,.239
Stanley Johnson,5.7,.212
Frank Kaminsky,9.8,.299
Justise Winslow,5.5,.196
Myles Turner,4.0,.213
Trey Lyles,4.4,.213
Devin Booker,4.5,.219
Cameron Payne,7.3,.258
Kelly Oubre,3.4,.180
Terry Rozier,6.0,.191
Rashad Vaughn,2.5,.132
Sam Dekker,7.0,.225
Jerian Grant,7.7,.218
Delon Wright,8.4,.289
Justin Anderson,4.4,.241
Bobby Portis,6.1,.227
Rondae Hollis-Jefferson,5.9,.218
Tyus Jones,6.5,.196
Jarell Martin,5.1,.174
Larry Nance Jr.,5.4,.199
R.J. Hunter,6.9,.215
Chris McCullough,1.4,.126
Kevon Looney,4.8,.172
